Condition,Code,Library,Code_2,Library_2,Selected,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,Value,Translation Reviewers
Desmaios/desmaios (Síncope e colapso),R55,ICD10,309585006,SNOMED,,,,32,0
Incontinência fecal,R15,ICD10,72042002,SNOMED,,,,33,0
Dificuldade de alimentação,R63.3,ICD10,78164000,SNOMED,,,,34,0
Febre,R50.9,ICD10,386661006,SNOMED,1.0,1.0,1.0,35,0
Sangramento gastrointestinal (hemorragia gastrointestinal),K92.2,ICD10,74474003,SNOMED,,,,36,0
Dor de cabeça,R51,ICD10,25064002,SNOMED,,,,37,0
Hepatomegalia,R16.0,ICD10,80515008,SNOMED,,,,38,0
Aumento da sede (polidipsia),R63.1,ICD10,249477003,SNOMED,,,,39,0
Aumento da micção (poliúria),R35.8,ICD10,28442001,SNOMED,,,,40,0
Irritabilidade,R45.4,ICD10,55929007,SNOMED,,,,41,0
Coceira nos olhos,H57.8,ICD10,74776002,SNOMED,,,,42,0
Icterícia,R17,ICD10,18165001,SNOMED,,,,43,0
Dor nas articulações (artralgia),M25.5,ICD10,57676002,SNOMED,,,,44,0
Queratite,H16.9,ICD10,5888003,SNOMED,,,,45,0
Fraqueza/paralisia dos membros (Monoplegia),G83.3,ICD10,713514005,SNOMED,,,,46,0
Edema localizado,R60.0,ICD10,274724004,SNOMED,,,,47,0
Perda de apetite (anorexia),R63.0,ICD10,79890006,SNOMED,,,,48,0
Perda de olfato (anosmia),R43.0,ICD10,44169009,SNOMED,,,,49,0
Perda do paladar (Parageusia),R43.2,ICD10,271801002,SNOMED,,,,50,0
Linfadenite,I88,ICD10,19471005,SNOMED,,,,51,0
Mal-estar e fadiga,R53,ICD10,271795006,SNOMED,,,,52,0
Úlceras bucais (aftas orais recorrentes),K12.0,ICD10,26284000,SNOMED,,,,53,0
Lesão mucosa,,,427752005,SNOMED,1.0,1.0,,54,0
Dores musculares (mialgia),M79.1,ICD10,68962001,SNOMED,,,,55,0
Fraqueza muscular,M62.81,ICD10,26544005,SNOMED,,,,56,0
Congestão nasal,R09.81,ICD10,68235000,SNOMED,,,1.0,57,0
Náusea ou vômito,R11,ICD10,16932000,SNOMED,,,,58,0
Dor ao urinar (Disúria),R30.0,ICD10,49650001,SNOMED,,,,59,0
Palidez,R23.1,ICD10,398979000,SNOMED,,,,60,0
Palpitações,R00.2,ICD10,80313002,SNOMED,,,,61,0
Parestesia de pele,R20.2,ICD10,91019004,SNOMED,,,,62,0
Problemas para engolir ou mastigar (Disfagia),R13.10,ICD10,40739000,SNOMED,,,,63,0
Prurido,L29,ICD10,418363000,SNOMED,,,,64,0
Batimento cardíaco/pulso rápido (taquicardia),R00.0,ICD10,3424008,SNOMED,,,,65,0
Erupções cutâneas ou lesões cutâneas,R21,ICD10,271807003,SNOMED,,,,66,0
Retenção de urina,R33.9,ICD10,267064002,SNOMED,,,,67,0
Falta de ar (dispneia),R06.0,ICD10,267036007,SNOMED,,,1.0,68,0
Lesão de pele,,,,SNOMED,1.0,,,69,0
Erupção cutânea,R21,ICD10,271807003,SNOMED,,1.0,,70,0
Distúrbio do sono,F51.9,ICD10,39898005,SNOMED,,,,71,0
Espirrando,R06.7,ICD10,162367006,SNOMED,,,1.0,72,0
Dor de garganta (dor de garganta),R07.0,ICD10,267102003,SNOMED,,,1.0,73,0
Distúrbios da fala,R47.9,ICD10,29164008,SNOMED,,,,74,0
Hematomas espontâneos (equimoses espontâneas),R23.3,ICD10,161887000,SNOMED,,,,75,0
Suor (hiperidrose),R61,ICD10,312230002,SNOMED,,,,76,0
Linfonodos inchados (linfonodos aumentados),R59.9,ICD10,30746006,SNOMED,,,,77,0
Zumbido,H93.1,ICD10,60862001,SNOMED,,,,78,0
Tremor,R25.1,ICD10,26079004,SNOMED,,,,79,0
Incontinência urinária,R32,ICD10,165232002,SNOMED,,,,80,0
Distúrbios visuais,H53,ICD10,63102001,SNOMED,,,,81,0
Chiado,R06.2,ICD10,56018004,SNOMED,,,1.0,82,0
