Country,Region,Income group,Code,Selected,Value,Translation Reviewers
Guiné Equatorial,Ásia Oriental e Pacífico,Lower middle income,FSM,,67,0
Eritreia,África Subsaariana,Upper middle income,GAB,,68,0
Estônia,Europa e Ásia Central,High income,GBR,,69,0
Essuatíni,Europa e Ásia Central,Upper middle income,GEO,,70,0
Etiópia,África Subsaariana,Lower middle income,GHA,,71,0
Ilhas Malvinas,Europa e Ásia Central,High income,GIB,,72,0
Ilhas Faroé,África Subsaariana,Lower middle income,GIN,,73,0
Ilhas Fiji,África Subsaariana,Low income,GMB,,74,0
Finlândia,África Subsaariana,Low income,GNB,,75,0
França,África Subsaariana,Upper middle income,GNQ,,76,0
Guiana Francesa,Europa e Ásia Central,High income,GRC,,77,0
Polinésia Francesa,América Latina e Caribe,Upper middle income,GRD,,78,0
Territórios Franceses do Sul,Europa e Ásia Central,High income,GRL,,79,0
Gabão,América Latina e Caribe,Upper middle income,GTM,,80,0
Gâmbia O,Ásia Oriental e Pacífico,High income,GUM,,81,0
Geórgia,América Latina e Caribe,High income,GUY,,82,0
Alemanha,Ásia Oriental e Pacífico,High income,HKG,,83,0
Gana,América Latina e Caribe,Lower middle income,HND,,84,0
Gibraltar,Europa e Ásia Central,High income,HRV,,85,0
Grécia,América Latina e Caribe,Lower middle income,HTI,,86,0
Groenlândia,Europa e Ásia Central,High income,HUN,,87,0
Granada,Europa e Ásia Central,Upper middle income,IDN,,89,0
Guadalupe,Sul da Ásia,High income,IMN,,90,0
Guam,Europa e Ásia Central,Lower middle income,IND,,91,0
Guatemala,Oriente Médio e Norte da África,High income,IRL,,92,0
Guernsey e Alderney,Oriente Médio e Norte da África,Lower middle income,IRN,,93,0
Guiné,Europa e Ásia Central,Upper middle income,IRQ,,94,0
Guiné-Bissau,Oriente Médio e Norte da África,High income,ISL,,95,0
Guiana,Europa e Ásia Central,High income,ISR,,96,0
Haiti,América Latina e Caribe,High income,ITA,,97,0
Ilha Heard e Ilhas McDonald,Oriente Médio e Norte da África,Upper middle income,JAM,,98,0
Honduras,Europa e Ásia Central,Lower middle income,JOR,,100,0
R.A.E. de Hong Kong,África Subsaariana,High income,JPN,,101,0
Hungria,Europa e Ásia Central,Upper middle income,KAZ,,102,0
Islândia,Ásia Oriental e Pacífico,Lower middle income,KEN,,103,0
Índia,Ásia Oriental e Pacífico,Lower middle income,KGZ,,104,0
Indonésia,América Latina e Caribe,Lower middle income,KHM,,105,0
Irã,Ásia Oriental e Pacífico,Lower middle income,KIR,,106,0
Iraque,Oriente Médio e Norte da África,High income,KNA,,107,0
Irlanda,Ásia Oriental e Pacífico,High income,KOR,,108,0
Israel,Oriente Médio e Norte da África,High income,KWT,,109,0
Itália,África Subsaariana,Lower middle income,LAO,,110,0
Jamaica,Oriente Médio e Norte da África,Lower middle income,LBN,,111,0
Japão,América Latina e Caribe,Low income,LBR,,112,0
Jersey,Europa e Ásia Central,Upper middle income,LBY,,113,0
Jordânia,Sul da Ásia,Upper middle income,LCA,,114,0
Cazaquistão,África Subsaariana,High income,LIE,,115,0
Quênia,Europa e Ásia Central,Lower middle income,LKA,,116,0
Quiribáti,Europa e Ásia Central,Lower middle income,LSO,,117,0
Kosovo,Europa e Ásia Central,High income,LTU,,118,0
Kuwait,Ásia Oriental e Pacífico,High income,LUX,,119,0
Quirguistão,América Latina e Caribe,High income,LVA,,120,0
Laos,Oriente Médio e Norte da África,High income,MAC,,121,0
Letônia,Europa e Ásia Central,High income,MAF,,122,0
Líbano,Europa e Ásia Central,Lower middle income,MAR,,123,0
Lesoto,África Subsaariana,High income,MCO,,124,0
Libéria,Sul da Ásia,Upper middle income,MDA,,125,0
Líbia,América Latina e Caribe,Low income,MDG,,126,0
Liechtenstein,Ásia Oriental e Pacífico,Upper middle income,MDV,,127,0
Lituânia,Europa e Ásia Central,Upper middle income,MEX,,128,0
Luxemburgo,África Subsaariana,Upper middle income,MHL,,129,0
R.E. de Macau,Oriente Médio e Norte da África,Upper middle income,MKD,,130,0
Madagáscar,Ásia Oriental e Pacífico,Low income,MLI,,131,0
Maláui,Europa e Ásia Central,High income,MLT,,132,0
Malásia,Ásia Oriental e Pacífico,Lower middle income,MMR,,133,0
Maldivas,Ásia Oriental e Pacífico,Upper middle income,MNE,,134,0
Mali,África Subsaariana,Lower middle income,MNG,,135,0
Malta,África Subsaariana,High income,MNP,,136,0
Homem (Ilha de),África Subsaariana,Low income,MOZ,,137,0
Ilhas Marshall,África Subsaariana,Lower middle income,MRT,,138,0
Martinica,Ásia Oriental e Pacífico,Upper middle income,MUS,,139,0
Mauritânia,África Subsaariana,Low income,MWI,,140,0
Maurício,Ásia Oriental e Pacífico,Upper middle income,MYS,,141,0
Maiote,África Subsaariana,Upper middle income,NAM,,142,0
México,África Subsaariana,High income,NCL,,143,0
Micronésia,América Latina e Caribe,Low income,NER,,144,0
Moldávia,Europa e Ásia Central,Lower middle income,NGA,,145,0
Mônaco,Europa e Ásia Central,Lower middle income,NIC,,146,0
Mongólia,Sul da Ásia,High income,NLD,,147,0
Montenegro,Ásia Oriental e Pacífico,High income,NOR,,148,0
Montserrate,Ásia Oriental e Pacífico,Lower middle income,NPL,,149,0
Marrocos,Oriente Médio e Norte da África,High income,NRU,,150,0
Moçambique,Sul da Ásia,High income,NZL,,151,0
Mianmar,América Latina e Caribe,High income,OMN,,152,0
Namíbia,América Latina e Caribe,Lower middle income,PAK,,153,0
Nauru,Ásia Oriental e Pacífico,High income,PAN,,154,0
Nepal,Ásia Oriental e Pacífico,Upper middle income,PER,,155,0
Holanda,Ásia Oriental e Pacífico,Lower middle income,PHL,,156,0
Nova Caledônia,Europa e Ásia Central,Upper middle income,PLW,,157,0
Nova Zelândia,América Latina e Caribe,Lower middle income,PNG,,158,0
Nicarágua,Ásia Oriental e Pacífico,High income,POL,,159,0
Níger,Europa e Ásia Central,High income,PRI,,160,0
Nigéria,América Latina e Caribe,Low income,PRK,,161,0
Niue,Oriente Médio e Norte da África,High income,PRT,,162,0
Ilha Norfolk,Ásia Oriental e Pacífico,Upper middle income,PRY,,163,0
Coréia do Norte,Oriente Médio e Norte da África,Upper middle income,PSE,,164,0
Macedônia do Norte,Europa e Ásia Central,High income,PYF,,165,0
Ilhas Marianas do Norte,Europa e Ásia Central,High income,QAT,,166,0
Noruega,África Subsaariana,High income,ROU,,167,0
Omã,Oriente Médio e Norte da África,Upper middle income,RUS,,168,0
Paquistão,África Subsaariana,Low income,RWA,,169,0
Palau,África Subsaariana,High income,SAU,,170,0
Território Palestino Ocupado,Ásia Oriental e Pacífico,Low income,SDN,,171,0
Panamá,Ásia Oriental e Pacífico,Lower middle income,SEN,,172,0
Papua Nova Guiné,África Subsaariana,High income,SGP,,173,0
Paraguai,América Latina e Caribe,Lower middle income,SLB,,174,0
Peru,Europa e Ásia Central,Low income,SLE,,175,0
Filipinas,África Subsaariana,Upper middle income,SLV,,176,0
Ilha Pitcairn,Europa e Ásia Central,High income,SMR,,177,0
Polônia,África Subsaariana,Low income,SOM,,178,0
Portugal,África Subsaariana,Upper middle income,SRB,,179,0
Porto Rico,América Latina e Caribe,Low income,SSD,,180,0
Catar,Europa e Ásia Central,Lower middle income,STP,,181,0
Reunião,Europa e Ásia Central,Upper middle income,SUR,,182,0
Romênia,Europa e Ásia Central,High income,SVK,,183,0
Rússia,África Subsaariana,High income,SVN,,184,0
Ruanda,América Latina e Caribe,High income,SWE,,185,0
Santa Helena,África Subsaariana,Lower middle income,SWZ,,186,0
São Cristóvão e Nevis,Oriente Médio e Norte da África,High income,SXM,,187,0
Santa Lúcia,América Latina e Caribe,High income,SYC,,188,0
São Pedro e Miquelon,África Subsaariana,Low income,SYR,,189,0
São Vicente e Granadinas,África Subsaariana,High income,TCA,,190,0
São Bartolomeu,Ásia Oriental e Pacífico,Low income,TCD,,191,0
Saint-Martin (parte francesa),Europa e Ásia Central,Low income,TGO,,192,0
Samoa,Europa e Ásia Central,Upper middle income,THA,,193,0
São Marino,Ásia Oriental e Pacífico,Lower middle income,TJK,,194,0
São Tomé e Príncipe,Ásia Oriental e Pacífico,Upper middle income,TKM,,195,0
Arábia Saudita,América Latina e Caribe,Lower middle income,TLS,,196,0
Senegal,Oriente Médio e Norte da África,Upper middle income,TON,,197,0
Sérvia,Europa e Ásia Central,High income,TTO,,198,0
Seicheles,Ásia Oriental e Pacífico,Lower middle income,TUN,,199,0
Serra Leoa,Ásia Oriental e Pacífico,Upper middle income,TUR,,200,0
Cingapura,África Subsaariana,Upper middle income,TUV,,201,0
Sint Maarten (parte holandesa),África Subsaariana,High income,TWN,,202,0
Eslováquia,Europa e Ásia Central,Lower middle income,TZA,,203,0
Eslovênia,América Latina e Caribe,Low income,UGA,,204,0
Ilhas Salomão,América do Norte,Lower middle income,UKR,,205,0
Somália,Europa e Ásia Central,High income,URY,,206,0
África do Sul,América Latina e Caribe,High income,USA,,207,0
Geórgia do Sul,América Latina e Caribe,Lower middle income,UZB,,208,0
Coréia do Sul,América Latina e Caribe,Upper middle income,VCT,,209,0
Sudão do Sul,América Latina e Caribe,,VEN,,210,0
Espanha,Ásia Oriental e Pacífico,High income,VGB,,211,0
Sri Lanka,Ásia Oriental e Pacífico,High income,VIR,,212,0
Sudão,Ásia Oriental e Pacífico,Lower middle income,VNM,,213,0
Suriname,Europa e Ásia Central,Lower middle income,VUT,,214,0
Ilhas Svalbard e Jan Mayen,Oriente Médio e Norte da África,Lower middle income,WSM,,215,0
Suécia,África Subsaariana,Upper middle income,XKX,,216,0
Suíça,África Subsaariana,Low income,YEM,,217,0
Síria,África Subsaariana,Upper middle income,ZAF,,218,0
Taiwan,Sub-Saharan Africa,Lower middle income,ZMB,,219,0
Tadjiquistão,Sub-Saharan Africa,Lower middle income,ZWE,,220,0
