Microorganism,Code,Library,Type,Value,Translation Reviewers
Staphylococcus saprophyticus,19743000.0,SNOMED,bacteria,149,0
Staphylocoque simulans,52122005.0,SNOMED,bacteria,150,0
Staphylococcus warneri,63550006.0,SNOMED,bacteria,151,0
Sténotrophomonas,115656007.0,SNOMED,bacteria,152,0
Stenotrophomonas maltophilie,113697002.0,SNOMED,bacteria,153,0
Streptocoque,58800005.0,SNOMED,bacteria,154,0
Streptocoque alpha-hémolytique,60631002.0,SNOMED,bacteria,155,0
Streptocoque angineux,44304009.0,SNOMED,bacteria,156,0
Groupe Streptococcus anginosus,415597009.0,SNOMED,bacteria,157,0
Streptocoque bêta-hémolytique,53490009.0,SNOMED,bacteria,158,0
Streptocoque constellatus,76199005.0,SNOMED,bacteria,159,0
Streptocoque dysgalactiae,40812000.0,SNOMED,bacteria,160,0
Streptocoque gallolytique,113985000.0,SNOMED,bacteria,161,0
Streptocoque intermédiaire,62170002.0,SNOMED,bacteria,162,0
Streptocoque mitis,57997003.0,SNOMED,bacteria,163,0
Streptocoque oral,19870004.0,SNOMED,bacteria,164,0
Streptocoque parasanguinis,113990002.0,SNOMED,bacteria,165,0
Streptococcus pneumoniae,9861002.0,SNOMED,bacteria,166,0
Streptocoque pyogène,80166006.0,SNOMED,bacteria,167,0
Streptocoque salivaire,39888004.0,SNOMED,bacteria,168,0
Streptocoque sanguinis,113993000.0,SNOMED,bacteria,169,0
Streptocoque viridans,31703004.0,SNOMED,bacteria,170,0
Groupe Streptococcus viridans,31703004.0,SNOMED,bacteria,171,0
Entérocoque résistant à la vancomycine (ERV),113727004.0,SNOMED,bacteria,172,0
Vibrio cholérique,75953000.0,SNOMED,bacteria,173,0
Vibrio parahaemolyticus,11736008.0,SNOMED,bacteria,174,0
Vibrio vulnificus,55905000.0,SNOMED,bacteria,175,0
Yersinia pestis,54365000.0,SNOMED,bacteria,176,0
