Microorganism,Code,Library,Type,Value,Translation Reviewers
Shigella sonnei,4298009.0,SNOMED,bacteria,136,0
Sphingomonas paucimobilis,243350004.0,SNOMED,bacteria,137,0
Estafilococos,65119002.0,SNOMED,bacteria,138,0
Staphylococcus aureus,3092008.0,SNOMED,bacteria,139,0
Staphylococcus capitis,40347003.0,SNOMED,bacteria,140,0
Staphylococcus caprae,76969000.0,SNOMED,bacteria,141,0
Staphylococcus cohnii,66872005.0,SNOMED,bacteria,142,0
Staphylococcus epidermidis,60875001.0,SNOMED,bacteria,143,0
Staphylococcus haemolyticus,83452006.0,SNOMED,bacteria,144,0
Staphylococcus hominis,44827007.0,SNOMED,bacteria,145,0
Staphylococcus hominis hominis,432505008.0,SNOMED,bacteria,146,0
Staphylococcus lugdunensis,103494005.0,SNOMED,bacteria,147,0
Staphylococcus pettenkoferi,428731005.0,SNOMED,bacteria,148,0
Staphylococcus saprophyticus,19743000.0,SNOMED,bacteria,149,0
Staphylococcus simulans,52122005.0,SNOMED,bacteria,150,0
Staphylococcus warningi,63550006.0,SNOMED,bacteria,151,0
Stenotrophomonas,115656007.0,SNOMED,bacteria,152,0
Stenotrophomonas maltophilia,113697002.0,SNOMED,bacteria,153,0
Estreptococo,58800005.0,SNOMED,bacteria,154,0
Estreptococo alfa-hemolítico,60631002.0,SNOMED,bacteria,155,0
Streptococcus anginoso,44304009.0,SNOMED,bacteria,156,0
Grupo Streptococcus anginosus,415597009.0,SNOMED,bacteria,157,0
Estreptococo beta-hemolítico,53490009.0,SNOMED,bacteria,158,0
Streptococcus constellatus,76199005.0,SNOMED,bacteria,159,0
Streptococcus disgalactiae,40812000.0,SNOMED,bacteria,160,0
Estreptococo gallolítico,113985000.0,SNOMED,bacteria,161,0
Estreptococo intermediário,62170002.0,SNOMED,bacteria,162,0
Estreptococo mitis,57997003.0,SNOMED,bacteria,163,0
Estreptococo oralis,19870004.0,SNOMED,bacteria,164,0
Streptococcus parasanguinis,113990002.0,SNOMED,bacteria,165,0
Streptococcus pneumoniae,9861002.0,SNOMED,bacteria,166,0
Streptococcus pyogenes,80166006.0,SNOMED,bacteria,167,0
Estreptococo salivarius,39888004.0,SNOMED,bacteria,168,0
Streptococcus sanguinis,113993000.0,SNOMED,bacteria,169,0
Streptococcus viridans,31703004.0,SNOMED,bacteria,170,0
Grupo Streptococcus viridans,31703004.0,SNOMED,bacteria,171,0
Enterococos resistentes à vancomicina (VRE),113727004.0,SNOMED,bacteria,172,0
Vibrio cholerae,75953000.0,SNOMED,bacteria,173,0
Vibrio parahaemolítico,11736008.0,SNOMED,bacteria,174,0
Vibrio vulnificus,55905000.0,SNOMED,bacteria,175,0
Yersinia pestis,54365000.0,SNOMED,bacteria,176,0
