Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline,Form Translation Reviewers,Section Translation Reviewers,Question Translation Reviewers,Definition Translation Reviewers,Completion Guideline Translation Reviewers,Answer Options Translation Reviewers
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_contnstudy,"Ser contactado para participar en futuros trabajos, incluidos estudios de investigación.","1, Sí | 0, No","Se refiere al contacto que se utilizará para participar en trabajos futuros, incluida la investigación.",Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.,2,1,0,0,0,0
presentación,INICIO Y PRESENTACIÓN,pres_onsetdate,Fecha de aparición del primer síntoma o del síntoma más temprano.,,Se refiere a la fecha de aparición del primer síntoma o del síntoma más temprano que está clínicamente relacionado con el episodio actual de la enfermedad.,"Indique la fecha del primer síntoma que, según su criterio clínico, esté relacionado con este episodio de enfermedad en formato DD/MM/AAAA.",2,0,0,0,0,
presentación,INICIO Y PRESENTACIÓN,pres_symptpres,¿Presentaba síntomas en la consulta inicial?,"1, Sí | 0, No | 99, Desconocido",Se refiere a si el paciente presentaba síntomas en la consulta inicial.,Indique «Sí» si el paciente presentaba síntomas en la consulta inicial.,2,0,0,0,0,0
presentación,INICIO Y PRESENTACIÓN,pres_firstsym,Síntomas durante las primeras 24 horas de la enfermedad (seleccione todos los que correspondan).,,"Se refiere al primer síntoma, o síntomas (si se produjeron varios al mismo tiempo), que usted cree clínicamente que estaban relacionados con este episodio de la enfermedad.",Seleccione todos los síntomas que experimentó el paciente durante las primeras 24 horas de la enfermedad (seleccione todos los que correspondan).,2,0,0,0,0,
presentación,INICIO Y PRESENTACIÓN,pres_consultdate,Fecha de la primera consulta clínica.,,Se refiere a la fecha de la primera consulta clínica relacionada con el episodio actual de la enfermedad.,Indique la fecha de la primera consulta clínica relacionada con el episodio actual de la enfermedad en formato DD/MM/AAAA.,2,0,0,0,0,
presentación,INICIO Y PRESENTACIÓN,pres_date,Fecha más reciente de presentación/ingreso en este centro.,,Se refiere a la fecha de hospitalización o ingreso del paciente en su centro por la enfermedad actual.,Introduzca la fecha de hospitalización/ingreso en su centro (en formato DD/MM/AAAA).,2,0,0,0,0,
presentación,INICIO Y PRESENTACIÓN,pres_adm,Ingresado en el hospital.,"1, Sí | 0, No | 99, Desconocido",Se refiere al ingreso del paciente en su centro por la enfermedad actual.,Indique «Sí» si el paciente fue ingresado en su centro.,2,0,0,0,0,0
presentación,INICIO Y PRESENTACIÓN,pres_adm_reas,Motivo de la hospitalización.,,Se refiere al motivo (indicación) de la hospitalización.,"Si la respuesta es «Sí», especifique el motivo (indicación) de la hospitalización.",2,0,0,0,0,1
presentación,INICIO Y PRESENTACIÓN,pres_adm_reasoth,Especifique otro motivo,,,,2,0,0,,,
presentación,INICIO Y PRESENTACIÓN,pres_adm_time,Hora del ingreso hospitalario.,,Se refiere al ingreso del paciente en su centro por la enfermedad actual.,Introduzca la hora de ingreso en su centro en formato de 24 horas (00:00 - 24:00 horas).,2,0,0,0,0,
presentación,INICIO Y PRESENTACIÓN,pres_enrolmentdate,Fecha de inscripción/inicio de la recopilación de datos.,,Se refiere a la fecha de inscripción/inicio de la recopilación de datos.,Introduzca la fecha de inscripción del paciente en el estudio en formato día/mes/año (DD/MM/AAAA).,2,0,0,0,0,
presentación,REINGRESO Y PIN ANTERIOR,readm_prev,¿El paciente fue ingresado anteriormente o trasladado desde otro centro durante este episodio de la enfermedad?,"1, SÍ: ingresado anteriormente en este centro y dado de alta | 2, SÍ: ingresado en otro centro y dado de alta | 3, SÍ: ingresado en otro centro y trasladado a este centro | 0, No | 99, Desconocido",Se refiere a la admisión previa en un centro de salud o al traslado desde otro centro de salud durante el episodio actual de la enfermedad.,Seleccione la opción más adecuada que indique si el paciente ha sido ingresado anteriormente o trasladado desde otro centro durante este episodio de la enfermedad.,2,0,0,0,0,0
presentación,REINGRESO Y PIN ANTERIOR,readm_prev_site,Nombre del centro de traslado,,Se refiere al nombre del centro desde el que se admitió o trasladó previamente al paciente.,Introduzca el nombre del centro desde el que fue ingresado o trasladado el paciente.,2,0,0,0,0,
presentación,REINGRESO Y PIN ANTERIOR,readm_prev_date,Fecha de presentación en el centro anterior,,Se refiere a la fecha de presentación en el centro en el que se admitió o trasladó previamente al paciente.,Introduzca la fecha de presentación en el centro en el que fue ingresado o trasladado el paciente.,2,0,0,0,0,
presentación,REINGRESO Y PIN ANTERIOR,readm_prev_num,Número total de ingresos anteriores por esta infección,,Se refiere al número de veces (para esta infección) que el paciente ha sido admitido en un centro de salud.,Indique el número de veces (para esta infección) que el paciente ha sido ingresado en un centro sanitario.,2,0,0,0,0,
presentación,REINGRESO Y PIN ANTERIOR,readm_firstadmdate,Fecha de la primera admisión por esta infección,,"Se refiere a la fecha de la primera admisión por esta enfermedad. Si el paciente fue «admitido primero en otro centro y luego trasladado a este centro», registre la fecha en que el paciente fue admitido en el otro centro de salud.",Escriba la fecha en formato DD/MM/AAAA.,2,0,0,0,0,
presentación,REINGRESO Y PIN ANTERIOR,readm_difpin,¿Se han recopilado previamente los datos del paciente bajo un número de identificación de participante (PIN) diferente?,"1, Sí | 0, No | 99, Desconocido",Se refiere a la recopilación previa de los datos del paciente con un número de identificación de participante (PIN) diferente.,Indique 'Sí' si los datos del paciente se han recopilado previamente en un número de identificación de participante diferente (PIN),2,0,0,0,0,0
presentación,REINGRESO Y PIN ANTERIOR,readm_prevpin,Número de identificación del participante anterior (PIN),,El número de identificación o PIN del participante es un número único utilizado para identificar los datos del paciente (del participante).,Escriba el número de identificación del participante (PIN).,2,0,0,0,0,
presentación,REINGRESO Y PIN ANTERIOR,readm_reas,¿El paciente está siendo readmitido o debido a la infección con patógeno de interés?,"1, Sí | 0, No | 99, Desconocido",Esto se refiere a la readmisión del paciente con o debido a la infección con patógeno de interés.,Indique 'sí' si el paciente está siendo readmitido o debido a la infección con patógeno de interés.,2,0,0,0,0,0
presentación,DATOS DEMOGRÁFICOS,demog_birthknow,¿Se conoce la fecha de nacimiento?,"1, Sí | 0, No",Se refiere a la fecha del calendario en la que nació el paciente.,Anote la fecha de nacimiento del participante en formato DD/MM/AAAA.,2,0,0,0,0,0
presentación,DATOS DEMOGRÁFICOS,demog_birthdate,Fecha de nacimiento,,Esto se refiere a la fecha del calendario en la que nació el paciente.,Registre la fecha de nacimiento de los participantes en formato DD/mm/aaa yyyy.,2,0,0,0,0,
presentación,DATOS DEMOGRÁFICOS,demog_age,Edad,,Esto se refiere a la edad del paciente.,"Para los participantes mayores de dos años, informe la edad en años. Para los niños menores de un año, informe en meses. Para neonatos menores de una edad de un mes, informe en días.",2,0,0,0,0,
presentación,DATOS DEMOGRÁFICOS,demog_age_units,Unidades de edad,"1, Años | 2, Meses | 3, Días",Esto se refiere a la edad del paciente en la presentación del centro de salud.,Seleccione las unidades más apropiadas para la edad.,2,0,0,0,0,0
presentación,DATOS DEMOGRÁFICOS,demog_calcage_days,Edad calculada (días),"if([demog_birthknow]='1',datediff([demog_birthdate],[pres_date],""d""),if([demog_age_units]='1',[demog_ag e]*365,if([demog_age_units]='2',round([demog_age]*365/12,0),if([demog_age_units]='3',[demog_age],''))))",Se refiere a la edad del paciente en días.,"La edad se calcula, si se conoce la fecha de nacimiento, como la diferencia entre la fecha de nacimiento y la fecha más reciente de presentación o ingreso al establecimiento.",2,0,0,0,0,0
presentación,DATOS DEMOGRÁFICOS,demog_sex,Sexo al nacer,"1, Hombre | 2, Mujer | 99, No especificado/Desconocido | 88, Otro",Esto se refiere a las características sexuales físicas al nacer.,Seleccione la opción más apropiada que represente las características sexuales físicas al nacer.,2,0,0,0,0,0
presentación,DATOS DEMOGRÁFICOS,demog_sex_oth,Si otro: especifique el sexo al nacer,,Esto se refiere a las características sexuales físicas al nacer.,"Si 'otro', especifique las características sexuales físicas al nacer.",2,0,0,0,0,
presentación,DATOS DEMOGRÁFICOS,demog_gender,Género,"1, Hombre | 2, Mujer | 3, No binario | 99, Desconocido | 88, Otro","Se refiere al sentido interno que tiene una persona de su género, que puede corresponder o no al sexo genotípico o fenotípico del individuo. ",Seleccione la opción más apropiada que represente la identidad de género del paciente.,2,0,0,0,0,0
presentación,DATOS DEMOGRÁFICOS,demog_gender_oth,Si otro: especificar género,,"Se refiere a la percepción interna que tiene una persona de su género, que puede corresponder o no al sexo genotípico o fenotípico del individuo.",Si 'otro' especifica la identidad de género del paciente.,2,0,0,0,0,
presentación,DATOS DEMOGRÁFICOS,demog_country,País,,Se refiere al país de inscripción.,Indicar el país de inscripción,2,0,0,0,0,
presentación,DATOS DEMOGRÁFICOS,demog_outcountry,¿El paciente nació fuera del país que presenta el informe?,"1, Sí | 0, No | 99, Desconocido",Se refiere al nacimiento del participante fuera del país que presenta el informe.,Indique si el participante nació fuera del país que presenta el informe.,2,0,0,0,0,0
presentación,DATOS DEMOGRÁFICOS,demog_height,Estatura,,Estimación real o más cercana a la altura al momento de la admisión.,"Se refiere a la distancia desde la planta del pie hasta la coronilla, con el cuerpo en posición de pie sobre una superficie plana y completamente extendido. Para niños menores de 2 años, utilice la longitud corporal (medida en decúbito supino).",2,0,1,0,1,
presentación,DATOS DEMOGRÁFICOS,demog_height_units,Altura (apartamentos seleccionados),"1 cm | 2, en",,,2,0,0,,,0
presentación,DATOS DEMOGRÁFICOS,demog_height_cm,Altura (cm),,"Esto se refiere a la distancia desde la suela hasta la corona de la cabeza con el cuerpo de pie sobre una superficie plana y completamente extendido, medido en centímetros. Para niños menores de 2 años, use la longitud del cuerpo (medido mientras está en cuenta).","Indique la altura del paciente en centímetros (cm). Para niños menores de 2 años, use la longitud.",2,0,0,0,0,
presentación,DATOS DEMOGRÁFICOS,demog_height_in,Altura (in),,"Esto se refiere a la distancia desde la suela hasta la corona de la cabeza con el cuerpo de pie sobre una superficie plana y completamente extendido, medido en pulgadas. Para niños menores de 2 años, use la longitud del cuerpo (medido mientras está en cuenta).","Indique la altura del paciente en pulgadas (in). Para niños menores de 2 años, use la longitud.",2,0,0,0,0,
presentación,DATOS DEMOGRÁFICOS,demog_weight,Peso (unidades seleccionadas),,Estimación real o más cercana al peso al momento de la admisión.,,2,0,0,0,,
presentación,DATOS DEMOGRÁFICOS,demog_weight_units,Peso (unidades seleccionadas),1kg | 2 libras,,,2,0,0,,,0
presentación,DATOS DEMOGRÁFICOS,demog_weight_kg,Peso (kg),,"Esto se refiere al peso de un sujeto, expresado en kilogramos (kg).",Indique el peso del paciente en kilogramos (kg).,2,0,0,0,0,
presentación,DATOS DEMOGRÁFICOS,demog_weight_lb,Peso (lb),,"Esto se refiere al peso de un sujeto, expresado en libras (lb).",Indique el peso del paciente en libras (LB).,2,0,0,0,0,
presentación,DATOS DEMOGRÁFICOS,demog_race,Raza (seleccione todo lo que se aplique),,Esto se refiere a una categoría de origen ancestral geográfica que se asigna a un grupo de población basado principalmente en características físicas que se cree que son distintas e inherentes.,Seleccione todo lo que se aplique.,2,0,0,0,0,
presentación,DATOS DEMOGRÁFICOS,demog_healthcare,Empleado como trabajador de la salud,"1, Sí | 0, No | 99, Desconocido",Se refiere a un paciente que trabaja en el sector sanitario.,Seleccione la opción más apropiada.,2,0,0,0,0,0
presentación,DATOS DEMOGRÁFICOS,demog_healthcare_ptfacing,Paciente que enfrenta,"1, Sí | 0, No | 99, Desconocido","Se refiere a un paciente que trabaja en el sector sanitario prestando asistencia en entornos de atención al paciente (es decir, funciones que implican la interacción directa con los pacientes). ",Seleccione la opción más apropiada.,2,0,0,0,0,0
presentación,DATOS DEMOGRÁFICOS,demog_healthcare_expbiosample,Expuesto a muestras biológicas,"1, Sí | 0, No | 99, Desconocido","Se refiere a un paciente que trabaja en el sector sanitario prestando asistencia en entornos que no están en contacto con pacientes, pero que está expuesto a muestras biológicas (por ejemplo, personal de laboratorio, manipuladores de residuos médicos).",Seleccione la opción más apropiada.,2,0,0,0,0,0
presentación,DATOS DEMOGRÁFICOS,demog_riskoccupa,Ocupación del paciente,,Esto se refiere a la actividad principal que una persona hace para ganarse la vida.,Seleccione todo lo que se aplique.,2,0,0,0,0,
presentación,DATOS DEMOGRÁFICOS,demog_occupation,Ubicación principal de la ocupación,"1, Trabajo desde casa o desempleado | 2, Interior: oficina/salud/educación/hostelería/negocios/hogares | 3, Interior: fábrica | 8, Exterior: contacto con animales (veterinario, ganadero, trabajador de matadero) | 4, Al aire libre: agricultura/silvicultura/pesca | 5, Al aire libre: construcción/industria/minería | 6, Fuerzas armadas | 7, Estudiante | 99, Desconocido | 88, Otro","Se refiere al lugar en el que el paciente realiza la mayor parte del trabajo relacionado con su ocupación actual. ",Seleccione la opción más apropiada que represente la ubicación principal de la ocupación.,2,0,0,0,0,0
presentación,DATOS DEMOGRÁFICOS,demog_occupation_oth,Si otro: especifique la ubicación principal de la ocupación,,Se refiere al lugar en el que el paciente realiza la mayor parte del trabajo relacionado con su ocupación actual.,"Si 'otro', especifique la ubicación principal de la ocupación.",2,0,0,0,0,
presentación,DATOS DEMOGRÁFICOS,demog_residence,Ciudad de residencia del paciente,"1, Igual que el centro sanitario | 2, Diferente del centro sanitario | 99, Desconocido",Se refiere a la ciudad en la que una persona reside de forma más que temporal o vive de forma permanente.,"Si la ciudad de residencia del paciente es diferente a la ciudad en la que se encuentra este centro de salud, especifique la región de residencia del paciente a continuación.",2,0,0,0,0,0
presentación,DATOS DEMOGRÁFICOS,demog_residence_oth,"Si es diferente de la instalación de casos de salud, especifique la región de residencia del paciente.",,Se refiere a la ciudad en la que una persona reside de forma más que temporal o vive de forma permanente.,"Si es ""diferente de la instalación de casos de salud"", especifique la región de residencia del paciente.",2,0,0,0,0,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_travel,¿Ha viajado el paciente fuera de su región de residencia en los últimos 14 días?,"1, Sí | 0, No | 99, Desconocido","Se refiere a los viajes a otra ciudad o región, a otra parte del país o al extranjero, a otro país, en los 14 días anteriores al inicio de los síntomas relacionados con la enfermedad actual.","Indique «Sí» si el paciente ha viajado a otra ciudad o región, a otra parte del país o al extranjero a otro país en los 14 días anteriores al inicio de los síntomas relacionados con la enfermedad actual.",2,0,0,0,0,0
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_travel_loc,Especifique todas las ciudades o pueblos y regiones de viaje,,Se refiere a todas las ciudades o pueblos y regiones a los que ha viajado el paciente en los 14 días anteriores al inicio de los síntomas relacionados con la enfermedad actual.,"Si el paciente ha viajado fuera de su lugar de residencia habitual en los 14 días anteriores al inicio de los síntomas, introduzca los lugares que ha visitado.",2,0,0,0,0,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_yn,¿Historia de contacto con un caso humano sospechoso o confirmado del mismo patógeno?,"1, Sí | 0, No | 99, Desconocido","Esto se refiere al paciente que tiene antecedentes de contacto con cualquier persona que se presente con síntomas similares o con un caso confirmado conocido, o con material contaminado de un caso sospechado o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.).","Indique 'sí', si el paciente tiene antecedentes de contacto con cualquier persona que se presente con síntomas similares o con un caso confirmado conocido, o con material contaminado de un caso sospechado o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.).",2,0,0,0,0,0
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typecomm,Contacto comunitario,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado. El contacto comunitario se refiere a la exposición fuera del ámbito sanitario.,Indique 'sí' si el paciente experimentó este modo de exposición a un caso humano sospechado o confirmado.,2,0,0,0,0,0
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typevert,Transmisión vertical,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado. La transmisión vertical se refiere a la transmisión de madre a hijo.,Indique 'sí' si el paciente experimentó este modo de exposición a un caso humano sospechado o confirmado.,2,0,0,0,0,0
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typehcw,Exposición a los trabajadores de la salud,"1, Sí | 0, No | 99, Desconocido",Esto se refiere al modo de exposición a un caso sospechado o confirmado. La exposición a los trabajadores de la salud se refiere a un evento de exposición en un entorno de atención médica.,Indique 'sí' si el paciente experimentó este modo de exposición a un caso humano sospechado o confirmado.,2,0,0,0,0,0
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typesext,Transmisión sexual,"1, Sí | 0, No | 99, Desconocido",Esto se refiere al modo de exposición a un caso sospechado o confirmado. La transmisión sexual se refiere a la infección propagada por contacto sexual.,Indique 'sí' si el paciente experimentó este modo de exposición a un caso humano sospechado o confirmado.,2,0,0,0,0,0
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typefaml,Contactos familiares / familiares,"1, Sí | 0, No | 99, Desconocido","Esto se refiere al modo de exposición a un caso sospechado o confirmado. El contacto familiar / doméstico se refiere a la transmisión de infecciones de personas que esperan compartir alojamiento de vida la mayoría de los días (y por lo tanto, para quién es inevitable el contacto cercano continuo)",Indique 'sí' si el paciente experimentó este modo de exposición a un caso humano sospechado o confirmado.,2,0,0,0,0,0
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typeschool,Entornos de cuidado infantil/exposición en la escuela,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado que se produce en entornos de cuidado infantil o en exposiciones relacionadas con la escuela.,Indique «Sí» si el paciente ha estado expuesto a un caso humano sospechoso o confirmado.,2,0,0,0,0,0
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typeoth,Otro tipo de exposición humana,"1, Sí | 0, No | 99, Desconocido",Esto se refiere a otros modos (s) de exposición a un caso sospechado o confirmado no especificado anteriormente.,Indique 'sí' si el paciente experimentó este modo de exposición a un caso humano sospechado o confirmado.,2,0,0,0,0,0
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typeoth_spec,Especifique otro tipo de exposición humana,,Se refiere a otros modos de exposición a un caso sospechoso o confirmado no especificados anteriormente.,"Si «Otro», especifique el modo de exposición a un caso sospechoso o confirmado.",2,0,0,0,0,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_date,Fecha de contacto con caso sospechoso o confirmado,,"Esto se refiere a la fecha de contacto con cualquier persona que presente síntomas similares o con un caso confirmado conocido, o con material contaminado de un caso sospechado o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.).",Escriba la fecha de contacto con el caso humano sospechado o confirmado en formato DD/mm/aaa yyyy.,2,0,0,0,0,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_setting,Configuración de contacto,"1, Hogar | 2, Laboral | 4, Centro sanitario | 99, Desconocido | 88, Otros",Esto se refiere al entorno dentro del cual la persona puede haber entrado en contacto con un caso sospechoso o confirmado.,Seleccione la opción más apropiada que represente la configuración de contacto con un caso humano confirmado o sospechado.,2,0,0,0,0,0
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_setting_oth,Si otro: especificar la configuración de contacto,,Esto se refiere al entorno dentro del cual la persona puede haber entrado en contacto con un caso sospechoso o confirmado.,"Si 'otro', especifique la configuración de contacto con un caso confirmado o sospechado.",2,0,0,0,0,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_ancon,"Contacto con animales, hogares de animales, carne u otros productos animales en los últimos 14 días","1, Sí | 0, No | 99, Desconocido","Se refiere al contacto con animales, hogares de animales, carnes u otros productos animales que haya tenido lugar en los últimos 14 días.","Indique «Sí» si el paciente ha estado en contacto con animales, hogares de animales, carne u otros productos animales en los últimos 14 días.",2,0,0,0,0,0
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_ancon_date,Fecha de contacto con la fuente animal sospechosa o confirmada,,"Se refiere a la fecha de contacto con animales, hogares de animales, carnes u otros productos animales que haya tenido lugar en los últimos 14 días.","Escriba la fecha del contacto con animales, hogares de animales, carne u otros productos animales en los últimos 14 días, en formato DD/MM/AAAA.",2,0,0,0,0,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_ancon_lstock,Contacto con animales de producción,"1, Sí | 0, No | 99, Desconocido","Se refiere al contacto con aves vivas (por ejemplo, pollos, pavos, patos) que haya tenido lugar en los últimos 14 días.",Indique «Sí» si el paciente ha experimentado esto en los últimos 14 días.,2,0,0,0,0,0
