Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,preset_ARChetype Syndromic CRF_Encephalitis,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Syndromic CRF_VHF,Comment,Value,Translation Reviewers
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,101,0
Virus Ebola,424206003.0,SNOMED,virus,,1.0,,,,,,,,1.0,,,,102,0
Échinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,103,0
Eggerthella,414075007.0,SNOMED,bacteria,,,,,,,,,,,,,,104,0
Elizabethkingia,426244005.0,SNOMED,bacteria,,,,,,,,,,,,,,105,0
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,,,106,0
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,107,0
Entamoeba histolytique,4716008.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,108,0
Bactéries entériques,106544002.0,SNOMED,bacteria,,,,,,,,,,,,,,109,0
Entérobactérie,58683007.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,110,0
Enterobacter aérogènes,62592009.0,SNOMED,bacteria,,,,,,,,,,,,,,111,0
Enterobacter asburiae,33115003.0,SNOMED,bacteria,,,,,,,,,,,,,,112,0
Enterobacter bugandensis,113611000000000.0,SNOMED,bacteria,,,,,,,,,,,,,,113,0
Enterobacter cloacae,14385002.0,SNOMED,bacteria,,,,,,,,,,,,,,114,0
Complexe Enterobacter cloacae,414102007.0,SNOMED,bacteria,,,,,,,,,,,,,,115,0
Enterobacter hormaechei,114454006.0,SNOMED,bacteria,,,,,,,,,,,,,,116,0
Enterobacter Kobei,114456008.0,SNOMED,bacteria,,,,,,,,,,,,,,117,0
Entérobactéries,106544002.0,SNOMED,bacteria,,,,,,,,,,,,,,118,0
Enterobius vermiculaire,55008000.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,119,0
Entérocoque,2785000.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,120,0
Entérocoque avium,87875008.0,SNOMED,bacteria,,,,,,,,,,,,,,121,0
Enterococcus faecalis,78065002.0,SNOMED,bacteria,,,,,,,,,,,,,,122,0
Enterococcus faecium,90272000.0,SNOMED,bacteria,,,,,,,,,,,,,,123,0
Enterococcus raffinosus,103437000.0,SNOMED,bacteria,,,,,,,,,,,,,,124,0
Entérovirus (genre Enterovirus),243633006.0,SNOMED,virus,,,,,,,,,,,,,,125,0
Épidermophyton,112403007.0,SNOMED,fungi,,,,,,,,,,,,,,126,0
Escherichia,64735005.0,SNOMED,bacteria,,,,,,,,,,,,,,127,0
Escherichia coli,112283007.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,128,0
Exophiala dermatitidis,20586007.0,SNOMED,fungi,,,,,,,,,,,,,,129,0
Falciformispora senegalensis (anciennement Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,,,,,,,,,,,,,,130,0
Filoviridae (famille),407325004.0,SNOMED,virus,,,,,,,,,,,,,,131,0
Flaviviridés (famille),243602009.0,SNOMED,virus,,,,,,,,,,1.0,,,,132,0
Francisella tularensis,51526001.0,SNOMED,bacteria,,,,,,,,,,,,,,133,0
Champignons,414561005.0,SNOMED,fungi,,,,,,,,,,,,,,134,0
Fusarium,35238009.0,SNOMED,fungi,,,,,,,,,,,,,,135,0
Fusobactérie nucléatum,32763000.0,SNOMED,bacteria,,,,,,,,,,,,,,136,0
Genre Marburgvirus,424421007.0,SNOMED,virus,,1.0,,,,,,,,,,1.0,,137,0
Giardia,61419001.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,138,0
Giardia intestinale,78181009.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,139,0
Giardia lamblia,78181009.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,140,0
Bacille Gram négatif,87172008.0,SNOMED,bacteria,,,,,,,,,,,,,,141,0
Bacille Gram positif,83514008.0,SNOMED,bacteria,,,,,,,,,,,,,,142,0
Coccus à Gram positif,59206002.0,SNOMED,bacteria,,,,,,,,,,,,,,143,0
Granulicatella adiacens,113713009.0,SNOMED,bacteria,,,,,,,,,,,,,,144,0
Hémophilus,71268004.0,SNOMED,bacteria,,,,,,,,,,,,,,145,0
Haemophilus ducreyi,64889004.0,SNOMED,bacteria,,,,,,,,,,,,,,146,0
Haemophilus influenzae,44470000.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,147,0
Haemophilus parainfluenzae,51593004.0,SNOMED,bacteria,,,,,,,,,,,,,,148,0
Hafnia alvei,76694001.0,SNOMED,bacteria,,,,,,,,,,,,,,149,0
Hantavirus,49445003.0,SNOMED,virus,,1.0,,,,,,,,,,,,150,0
Helicobacter pylori,80774000.0,SNOMED,bacteria,,,,,,,,,,,,,,151,0
Virus Hendra,115510008.0,SNOMED,virus,,,,,,,,,,,,,,152,0
Hépadnaviridae,422951006.0,SNOMED,virus,,,,,,,,,,,,,,153,0
Virus de l'hépatite A,32452004.0,SNOMED,virus,,,1.0,,,,,,,,,,,154,0
Virus de l'hépatite B,81665004.0,SNOMED,virus,,,1.0,,,,,,,,,,,155,0
Virus de l'hépatite C,62944002.0,SNOMED,virus,,,1.0,,,,,,,,,,,156,0
Virus de l'hépatite D,83617006.0,SNOMED,virus,,,,,,,,,,,,,,157,0
Virus de l'hépatite E,78475006.0,SNOMED,virus,,,,,,,,,,,,,,158,0
Herpèsviridés,128377001.0,SNOMED,virus,,,,,,,,,,,,,,159,0
Histoplasma,81951003.0,SNOMED,fungi,,,,,,,,,,,,,,160,0
Histoplasma capsulatum,56596006.0,SNOMED,fungi,,,,,,,,,,,,,,161,0
"Herpèsvirus humain 1 (HHV1, Herpes simplex virus 1, HSV1)",407451003.0,SNOMED,virus,,,,,,,,,,1.0,,,,162,0
"Herpèsvirus humain 2 (HHV2, Herpes Simplex virus 2, HSV2)",407450002.0,SNOMED,virus,,,,,,,,,,1.0,,,,163,0
"Herpèsvirus humain 3 (virus varicelle-zona, VZV)",19551004.0,SNOMED,virus,,,,1.0,1.0,,,,,1.0,,,,164,0
"Herpèsvirus humain 4 (virus Epstein-Barr, EBV)",40168006.0,SNOMED,virus,,,,,,,,,,1.0,,,,165,0
"Herpèsvirus humain 5 (Cytomégalovirus humanbeta5, hCMV)",243579005.0,SNOMED,virus,,,,,,,,,,,,,,166,0
Herpèsvirus humain 6 (virus de la roseola infantum),103528003.0,SNOMED,virus,,,,,,,,,,,,,,167,0
Virus de l'immunodéficience humaine (VIH),19030005.0,SNOMED,virus,,,1.0,,,,,,,,,,,168,0
Virus de l'immunodéficience humaine de type 1 (VIH-1),89293008.0,SNOMED,virus,,,,,,,,,,,,,,169,0
Virus de l'immunodéficience humaine de type 2 (VIH-2),36115006.0,SNOMED,virus,,,,,,,,,,,,,,170,0
Métapneumovirus humain (hMPV),416730002.0,SNOMED,virus,,,,,,,,,,,,,,171,0
Virus parainfluenza humain,407498006.0,SNOMED,virus,,,,,,,,,,,,,,172,0
Virus parainfluenza humain 1,407489008.0,SNOMED,virus,,,,,,,,,,,,,,173,0
Virus parainfluenza humain 2,407491000.0,SNOMED,virus,,,,,,,,,,,,,,174,0
Virus parainfluenza humain 3,407493002.0,SNOMED,virus,,,,,,,,,,,,,,175,0
Virus parainfluenza humain 4,89117003.0,SNOMED,virus,,,,,,,,,,,,,,176,0
Parvovirus humain b19,63603005.0,SNOMED,virus,,,,,,,,,,,,,,177,0
Virus respiratoire syncytial humain (VRS),6415009.0,SNOMED,virus,,,,,,,,,,,,,,178,0
Bocavirus humain,446373002.0,SNOMED,virus,,,,,,,,,,,,,,179,0
Coronavirus humain,84101006.0,SNOMED,virus,,,,,,,,,,,,,,180,0
Hyménolépis diminuta,23895005.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,181,0
Hyménolépis nana,74311004.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,182,0
Grippe A H1N1,442352004.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,183,0
Grippe A H5N1,772827006.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,184,0
Grippe A H5N8,708527000.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,185,0
Grippe A H7N7,715346008.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,186,0
Grippe A H7N9,609444009.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,187,0
Virus de la grippe A,407479009.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,188,0
Virus de la grippe B,407480007.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,189,0
Virus de la grippe,725894000.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,1.0,,,,190,0
Isospora belli,12633005.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,191,0
Virus de l'encéphalite japonaise (JEV),243603004.0,SNOMED,virus,,,,,,,,,,1.0,,,,192,0
Virus Junin,26352009.0,SNOMED,virus,,,,,,,,,,,,1.0,,193,0
Klebsiella,75032006.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,194,0
Klebsiella aérogène,62592009.0,SNOMED,bacteria,,,,,,,,,,,,,,195,0
Klebsiella oxytoca,40886007.0,SNOMED,bacteria,,,,,,,,,,,,,,196,0
Klebsiella pneumoniae,56415008.0,SNOMED,bacteria,,,,,,,,,,,,,,197,0
"Klebsiella pneumoniae, BLSE",409801009.0,SNOMED,bacteria,,,,,,,,,,,,,,198,0
Klebsiella variicule,431976004.0,SNOMED,bacteria,,,,,,,,,,,,,,199,0
Lacticaseibacillus rhamnosus,113798001.0,SNOMED,bacteria,,,,,,,,,,,,,,200,0
Virus de Lassa,85944001.0,SNOMED,virus,,1.0,,,,,,,,1.0,,1.0,,201,0
Légionelle,7527002.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,202,0
Legionella pneumophila,80897008.0,SNOMED,bacteria,,,,,,,,,,,,,,203,0
Leishmanie,79357004.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,204,0
Leishmanie Viannia,712933004.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,205,0
Leishmanie brésilienne,83196002.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,206,0
Complexe Leishmania braziliensis,7400004.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,207,0
Complexe de Leishmania donovani,79781008.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,208,0
Interrogateurs de Leptospira,116401006.0,SNOMED,bacteria,,,,,,,,,,,1.0,,,209,0
Lichtiémie,734206002.0,SNOMED,fungi,,,,,,,,,,,,,,210,0
Listeria monocytogènes,36094007.0,SNOMED,bacteria,,,,,,,,,,,,,,211,0
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,,,,,,,,,,,,,,212,0
Virus Lujo,450622000.0,SNOMED,virus,,,,,,,,,,,,1.0,,213,0
Virus de la chorioméningite lymphocytaire (LCMV),82518003.0,SNOMED,virus,,,,,,,,,,,,,,214,0
MERS-CoV,697932005.0,SNOMED,virus,,,,,,,,1.0,,1.0,,,,215,0
Virus Machupo,71489006.0,SNOMED,virus,,1.0,,,,,,,,,,1.0,,216,0
Madurelle,23009007.0,SNOMED,fungi,,,,,,,,,,,,,,217,0
Malassezia pachydermatis,51257000.0,SNOMED,fungi,,,,,,,,,,,,,,218,0
Morbillivirus de la rougeole,52584002.0,SNOMED,virus,,,,1.0,1.0,,,,,,,,,219,0
Métapneumovirus,407501006.0,SNOMED,virus,,,,,,,,,,,,,,220,0
Staphylococcus aureus résistant à la méthicilline (SARM),115329001.0,SNOMED,bacteria,,,,,,,,,,,,,,221,0
Staphylococcus aureus sensible à la méthicilline (MSSA),417943000.0,SNOMED,bacteria,,,,,,,,,,,,,,222,0
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,,,,,,,,,,,,,,223,0
Microcoque,52864008.0,SNOMED,bacteria,,,,,,,,,,,,,,224,0
Micrococcus jaune,48299003.0,SNOMED,bacteria,,,,,,,,,,,,,,225,0
Microsporidies,418382009.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,226,0
Microsporum,11983001.0,SNOMED,fungi,,,,,,,,,,,,,,227,0
Coronavirus du syndrome respiratoire du Moyen-Orient,697932005.0,SNOMED,virus,,,,,,,,,,,,,,228,0
Mirabilis,79589007.0,SNOMED,bacteria,,,,,,,,,,,,,,229,0
Moraxelle,36361003.0,SNOMED,bacteria,,,,,,,,,,,,,,230,0
Moraxella catarrhalis,24226003.0,SNOMED,bacteria,,,,,,,,,,,,,,231,0
Morganelle,50713005.0,SNOMED,bacteria,,,,,,,,,,,,,,232,0
Morganella morganii,243301005.0,SNOMED,bacteria,,,,,,,,,,,,,,233,0
Virus Mvariole,59774002.0,SNOMED,virus,1.0,,,1.0,1.0,,,,,,,,,234,0
Mucor,49782006.0,SNOMED,fungi,,,,,,,,,,,,,,235,0
Virus des oreillons,50384007.0,SNOMED,virus,,,,,,,,,,1.0,,,,236,0
Mycobactérie,243368001.0,SNOMED,bacteria,,,,,,,,,,,,,,237,0
Mycobactérie leprae,58242002.0,SNOMED,bacteria,,,,,,,,,,,,,,238,0
Mycobactérie tuberculose,113861009.0,SNOMED,bacteria,,,,,,,,,,,,,,239,0
"Mycobactérie, non tuberculeuse",110379001.0,SNOMED,bacteria,,,,,,,,,,,,,,240,0
Mycoplasma agalactiae,16377009.0,SNOMED,bacteria,,,,,,,,,,,,,,241,0
Mycoplasma pneumoniae,58720004.0,SNOMED,bacteria,,,,,,,,,,,,,,242,0
Nécator américain,43905006.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,243,0
Neisseria méningitidis,17872004.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,244,0
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,,,,,,,,,,,,,,245,0
virus Nipah,115511007.0,SNOMED,virus,,,,,,,,,,1.0,,,,246,0
Nocardia astéroïdes,30092002.0,SNOMED,bacteria,,,,,,,,,,,,,,247,0
Nocardia brasiliensis,58970008.0,SNOMED,bacteria,,,,,,,,,,,,,,248,0
Norovirus,407359000.0,SNOMED,virus,,,,,,,,,,,,,,249,0
Volvulus d'Onchocerca,52397001.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,250,0
Orthomyxoviridae (virus de la grippe),55014007.0,SNOMED,virus,,,,,,,,,,,,,,251,0
Papillomavirus,243584004.0,SNOMED,virus,,,,,,,,,,,,,,252,0
Papoviridés,243587006.0,SNOMED,virus,,,,,,,,,,,,,,253,0
Paracoccidioides,112405000.0,SNOMED,fungi,,,,,,,,,,,,,,254,0
Paragonimus westermani,58412002.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,255,0
Paramyxoviridés,128354001.0,SNOMED,virus,,,,,,,,,,,,,,256,0
Parvoviridés,243587006.0,SNOMED,virus,,,,,,,,,,,,,,257,0
Pénicillium,42993004.0,SNOMED,fungi,,,,,,,,,,,,,,258,0
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,,,,,,,,,,,,,,259,0
Picornaviridés,407344006.0,SNOMED,virus,,,,,,,,,,,,,,260,0
Plasmodium,34706006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,261,0
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,1.0,,262,0
Plasmodium paludisme,56395006.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,,,263,0
Plasmodium ovale,18508006.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,,,264,0
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,1.0,,265,0
Pneumocystis,115987006.0,SNOMED,fungi,,,,,,,,,,,,,,266,0
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,,,,,,,,,,1.0,,,,267,0
Maladies à prions,20484008.0,SNOMED,Prions,,,,,,,,,,1.0,,,,268,0
Propionibactérie,34844008.0,SNOMED,bacteria,,,,,,,,,,,,,,269,0
Propionibactérie acnés,39473003.0,SNOMED,bacteria,,,,,,,,,,,,,,270,0
Protée,50517009.0,SNOMED,bacteria,,,,,,,,,,,,,,271,0
Proteus mirabilis,73457008.0,SNOMED,bacteria,,,,,,,,,,,,,,272,0
Protée vulgaire,45834001.0,SNOMED,bacteria,,,,,,,,,,,,,,273,0
Providencia rettgeri,14196002.0,SNOMED,bacteria,,,,,,,,,,,,,,274,0
Providence stuartii,1445008.0,SNOMED,bacteria,,,,,,,,,,,,,,275,0
Pseudomonas,57032008.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,276,0
Pseudomonas aeruginosa,52499004.0,SNOMED,bacteria,,,,,,,,,,,,,,277,0
Pseudomonas fluorescens,39289003.0,SNOMED,bacteria,,,,,,,,,,,,,,278,0
Pseudomonas putida,68608003.0,SNOMED,bacteria,,,,,,,,,,,,,,279,0
Virus de la rage,59881000.0,SNOMED,virus,,,,,,,,,,1.0,,,,280,0
Raoultella,417468005.0,SNOMED,bacteria,,,,,,,,,,,,,,281,0
Raoultella ornithinolytica,416832000.0,SNOMED,bacteria,,,,,,,,,,,,,,282,0
Raoultella planticola,416264004.0,SNOMED,bacteria,,,,,,,,,,,,,,283,0
Virus respiratoire syncytial (VRS),6415009.0,SNOMED,virus,,,,,,,,1.0,,,,,,284,0
Rétroviridés,77622001.0,SNOMED,virus,,,,,,,,,,1.0,,,,285,0
Rhabdoviridés,407326003.0,SNOMED,virus,,,,,,,,,,,,,,286,0
Rhizomucor,85711000.0,SNOMED,fungi,,,,,,,,,,,,,,287,0
Rhizopus,17683005.0,SNOMED,fungi,,,,,,,,,,,,,,288,0
Virus de la fièvre de la vallée du Rift,28335002.0,SNOMED,virus,,1.0,,,,,,,,,,1.0,,289,0
Virus de la rivière Ross,32458000.0,SNOMED,virus,,,,,,,,,,,,,,290,0
Rotavirus,417542000.0,SNOMED,virus,,,,,,,,,,,,,,291,0
Virus de la rubéole,5210005.0,SNOMED,virus,,,,,,,,,,,,,,292,0
SRAS-CoV-2,840533007.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,1.0,,,,293,0
