Drugs (Generic),Code,Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_User Generated CRF_Encephalitis,Comment,Value,Translation Reviewers
Diritromicina (Dynabac),J01CF01,ATC,2,,,,,,,,,,,,,55,0
"Doripenem (Doribax, Finibax)","J01FA13  ",ATC,2,,,,,,,,,,,,,56,0
"Doxiciclina (Vibramicina, Oracea, Monodox)","J01DH04  ",ATC,2,,,,,,,,,,,,,57,0
Enoxacina,J01AA02,ATC,1,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,58,0
Ertapenem (Invanz),J01MA04,ATC,2,,,,,,,,,,,,,59,0
Ertapenem (Invanz),J01DH03,ATC,1,,,,,,,,,,,1.0,,60,0
"Eritromicina (Eryc, Eritrocina)",J01FA01,ATC,1,1.0,,,,,,,,,,1.0,,61,0
"Flucloxacilina (Floxapen, Fluclox)",J04AK02,ATC,,,,,,,,,,,,,,62,0
"Flucloxacilina (Floxapen, Fluclox)","J01CF05  ",ATC,1,,,,,,,,,,,1.0,,63,0
Fluconazol (Diflucan),"J02AC01 ",ATC,1,,,,,,,,,,,1.0,,64,0
Fosfomicina (Monurol),"J01XX01 ",ATC,1,,,,,,,,,,,1.0,,65,0
Gatifloxacina (Tequin),J01XC01,ATC,,,,,,,,,,,,,,66,0
Gatifloxacina (Tequin),J01MA16,ATC," ",,,,,,,,,,,,,67,0
"Gentamicina (Garamycin, Gentak, Genoptic)",J01MA15,ATC,2,,,,,,,,,,,,,68,0
"Gentamicina (Garamycin, Gentak, Genoptic)",J01GB03,ATC,1,,,,,,,,,,,1.0,,69,0
Imipenem/Cilastatina (Primaxin),J01MA11,ATC,2,,,,,,,,,,,,,70,0
Imipenem/Cilastatina (Primaxin),J01DH51,ATC,1,,,,,,,,,,,1.0,,71,0
"Isoniazida (Nydrazid, Laniazida)",J04AC01,ATC,1,,,,,,,,,,,1.0,,72,0
"Levofloxacina (Levaquin, Levxin, Tavanic)","J01GB04 ",ATC," ",,,,,,,,,,,,,73,0
"Levofloxacina (Levaquin, Levxin, Tavanic)",J01MA12,ATC,1,1.0,,,,,1.0,1.0,,,,1.0,,74,0
Linezolid (Zyvox),J01FF02,ATC,2,,,,,,,,,,,,,75,0
lomefloxacina,J01XX08,ATC,1,1.0,,,,,,,,,,1.0,,76,0
"Meropenem (Merrem, Meronem)",J01MA07,ATC,2,,,,,,,,,,,,,77,0
"Meropenem (Merrem, Meronem)","J01DH02 ",ATC,1,1.0,,,,,,,,,,1.0,,78,0
"Meticilina (meticilina, estafcilina)","J01XX05  ",ATC,2,,,,,,,,,,,,,79,0
"Metronidazol (Flagyl, Likmez)",J01CF03,ATC,2,,,,,,,,,,,,,80,0
"Metronidazol (Flagyl, Likmez)",J01XD01,ATC,1,,,,,,,,,,,1.0,,81,0
"Mezlocilina (Baypen, Melocin, Bezlin, Optocilina)",J01CA10,ATC,2,,,,,,,,,,,,,82,0
"Moxifloxacina (Avelox, Vigamox)",J01AA08,ATC,2,,,,,,,,,,,,,83,0
"Moxifloxacina (Avelox, Vigamox)",J01MA14,ATC,1,,,,,,,,,,,1.0,,84,0
"Ácido nalidíxico (NegGram, Wintomylon)",J01CF06,ATC,2,,,,,,,,,,,,,85,0
Neomicina (Neovet),J01MB02,ATC,2,,,,,,,,,,,,,86,0
Netilmicina (Netromicina),J01GB05,ATC,2,,,,,,,,,,,,,87,0
"Nitrofural (aldomicina, furacina, NFZ)",J01GB07,ATC," ",,,,,,,,,,,,,89,0
"Nitrofurantoína (Macrobid, Macrodantin)",D08AF01,ATC,2,,,,,,,,,,,,,90,0
"Nitrofurantoína (Macrobid, Macrodantin)","J01XE01  ",ATC,1,,,,,,,,,,,1.0,,91,0
Novobiocina (Albadry),J01MA06,ATC,2,,,,,,,,,,,,,92,0
"Ofloxacina (Floxin, Ocuflox)",90220005,SNOMED,2,,,,,,,,,,,,,93,0
Oxacilina (Bactocill),J01MA01,ATC,2,,,,,,,,,,,,,94,0
"Oxitetraciclina (agrimicina, noromicina)",J01CF04,ATC,2,,,,,,,,,,,,,95,0
piperacilina,J01AA06,ATC,2,,,,,,,,,,,,,96,0
"Inhibidor de piperacilina/beta-lactamasa (Piperacilina/Tazobactam, Pip-Taz, Tazocel, Tazocin, Zosyn,",J01CA12,ATC,,,,,,,,,,,,,,97,0
"Inhibidor de piperacilina/beta-lactamasa (Piperacilina/Tazobactam, Pip-Taz, Tazocel, Tazocin, Zosyn,","J01CR05 ",ATC,1,1.0,,,,,,,,,,1.0,,98,0
Pivmecilinam (Selexid),"J01CA08 ",ATC,1,,,,,,,,,,,1.0,,100,0
"Polimixina B (Poly-Rx, Polisporina)",J01GB14,ATC,,,,,,,,,,,,,,101,0
"Polimixina B (Poly-Rx, Polisporina)",J01XB02,ATC," ",,,,,,,,,,,,,102,0
Pirazinamida,J01CE09,ATC,,,,,,,,,,,,,,103,0
Quinupristina/Dalfopristina (Synercid),J04AK01,ATC,,,,,,,,,,,,,,104,0
Retapamulina (Altabax),"J01FG02  ",ATC,2,,,,,,,,,,,,,105,0
"Rifampicina (Rifadin, Rimactane)",D06AX13,ATC,2,,,,,,,,,,,,,106,0
"Rifampicina (Rifadin, Rimactane)","J04AB02  ",ATC,1,,,,,,,,,,,1.0,,107,0
Rifaximina (Xifaxan),J04AB05,ATC,2,,,,,,,,,,,,,108,0
Rifaximina (Xifaxan),A07AA11,ATC,1,,,,,,,,,,,1.0,,109,0
Sparfloxacina (Spacin),J01FA06,ATC,,,,,,,,,,,,,,110,0
Espectinomicina (SpectoGard),"J01MA09  ",ATC,2,,,,,,,,,,,,,111,0
Estreptomicina,J01XX04,ATC,2,,,,,,,,,,,,,112,0
Sulfadiazina,J01GA01,ATC,2,,,,,,,,,,,,,113,0
Sulfametoxazol (Gantanol),J01EC02,ATC,2,,,,,,,,,,,,,114,0
Sulfametoxazol (Gantanol),J01EC01,ATC,1,,,,,,,,,,,1.0,,115,0
"Sulfisoxazol (sulfafurazol, truxazol)","J01EE01  ",ATC,1,1.0,,,,,,,,,,1.0,,116,0
Teicoplanina (Targocid),J01EB05,ATC,2,,,,,,,,,,,,,117,0
Teicoplanina (Targocid),J01XA02,ATC," ",1.0,,,,,,,,,,,,118,0
Telitromicina (Levviax),J01XA03,ATC,2,,,,,,,,,,,,,119,0
"Tetraciclina (Viabeclina, Vitastem)",J01FA15,ATC,2,,,,,,,,,,,,,120,0
ticarcilina,J01AA07,ATC,2,,,,,,,,,,,,,121,0
Inhibidor de ticarcilina/betalactamasa (ticacilina/clavulanato),J01CA13,ATC,2,,,,,,,,,,,,,122,0
Tigeciclina (Tygacil),"J01CR03  ",ATC,2,,,,,,,,,,,,,123,0
"Tobramicina (Nebcin, Tobrex, Tobi)","J01AA12 ",ATC,1,,,,,,,,,,,1.0,,124,0
Trimetoprima (Primsol),J01GB01,ATC,1,,,,,,,,,,,1.0,,125,0
Trovafloxacina (Trovan),J01EA01,ATC,1,,,,,,,,,,,1.0,,126,0
"Vancomicina (Vancocin, Vancocin HCl, Firvanq)","J01MA13 ",ATC," ",,,,,,,,,,,,,127,0
Voriconazol (Vfend),J01XA01,ATC,1,1.0,,,,,,1.0,,,,1.0,,128,0
Xibornol,"J02AC03 ",ATC," ",,,,,,,,,,,,,129,0
Xibornol,J01XX02,ATC,,,,,,,,,,,,,,130,0
