Country,Region,Income group,Code,Selected,Value,Translation Reviewers
Îles Cocos (Keeling),Latin America & Caribbean,High income,CUW,,47,0
Colombie,Latin America & Caribbean,High income,CYM,,48,0
Comores,Europe & Central Asia,High income,CYP,,49,0
Congo,Europe & Central Asia,High income,CZE,,50,0
Îles Cook,Europe & Central Asia,High income,DEU,,51,0
Costa Rica,Middle East & North Africa,Lower middle income,DJI,,52,0
Côte d'Ivoire (Côte d'Ivoire),Latin America & Caribbean,Upper middle income,DMA,,53,0
Croatie,Europe & Central Asia,High income,DNK,,54,0
Cuba,Latin America & Caribbean,Upper middle income,DOM,,55,0
Curaçao,Middle East & North Africa,Lower middle income,DZA,,56,0
Chypre,Latin America & Caribbean,Upper middle income,ECU,,57,0
République tchèque,Middle East & North Africa,Lower middle income,EGY,,58,0
République démocratique du Congo,Sub-Saharan Africa,Low income,ERI,,59,0
Danemark,Europe & Central Asia,High income,ESP,,60,0
Djibouti,Europe & Central Asia,High income,EST,,61,0
Dominique,Sub-Saharan Africa,Low income,ETH,,62,0
République dominicaine,Europe & Central Asia,High income,FIN,,63,0
Équateur,East Asia & Pacific,Upper middle income,FJI,,64,0
Egypte,Europe & Central Asia,High income,FRA,,65,0
Salvador,Europe & Central Asia,High income,FRO,,66,0
Guinée équatoriale,East Asia & Pacific,Lower middle income,FSM,,67,0
Érythrée,Sub-Saharan Africa,Upper middle income,GAB,,68,0
Estonie,Europe & Central Asia,High income,GBR,,69,0
Eswatini,Europe & Central Asia,Upper middle income,GEO,,70,0
Ethiopie,Sub-Saharan Africa,Lower middle income,GHA,,71,0
Îles Falkland,Europe & Central Asia,High income,GIB,,72,0
Îles Féroé,Sub-Saharan Africa,Lower middle income,GIN,,73,0
Îles Fidji,Sub-Saharan Africa,Low income,GMB,,74,0
Finlande,Sub-Saharan Africa,Low income,GNB,,75,0
France,Sub-Saharan Africa,Upper middle income,GNQ,,76,0
Guyane française,Europe & Central Asia,High income,GRC,,77,0
Polynésie française,Latin America & Caribbean,Upper middle income,GRD,,78,0
Terres australes françaises,Europe & Central Asia,High income,GRL,,79,0
Gabon,Latin America & Caribbean,Upper middle income,GTM,,80,0
Gambie La,East Asia & Pacific,High income,GUM,,81,0
Géorgie,Latin America & Caribbean,High income,GUY,,82,0
Allemagne,East Asia & Pacific,High income,HKG,,83,0
Ghana,Latin America & Caribbean,Lower middle income,HND,,84,0
Gibraltar,Europe & Central Asia,High income,HRV,,85,0
Grèce,Latin America & Caribbean,Lower middle income,HTI,,86,0
Groenland,Europe & Central Asia,High income,HUN,,87,0
Grenade,East Asia & Pacific,Upper middle income,IDN,,88,0
Guadeloupe,Europe & Central Asia,High income,IMN,,89,0
Guam,South Asia,Lower middle income,IND,,90,0
Guatemala,Europe & Central Asia,High income,IRL,,91,0
Guernesey et Aurigny,Middle East & North Africa,Lower middle income,IRN,,92,0
Guinée,Middle East & North Africa,Upper middle income,IRQ,,93,0
Guinée-Bissau,Europe & Central Asia,High income,ISL,,94,0
Guyane,Middle East & North Africa,High income,ISR,,95,0
Haïti,Europe & Central Asia,High income,ITA,,96,0
Île Heard et îles McDonald,Latin America & Caribbean,Upper middle income,JAM,,97,0
Honduras,Middle East & North Africa,Lower middle income,JOR,,98,0
Hong Kong RAS,East Asia & Pacific,High income,JPN,,99,0
Hongrie,Europe & Central Asia,Upper middle income,KAZ,,100,0
Islande,Sub-Saharan Africa,Lower middle income,KEN,,101,0
Inde,Europe & Central Asia,Lower middle income,KGZ,,102,0
Indonésie,East Asia & Pacific,Lower middle income,KHM,,103,0
L'Iran,East Asia & Pacific,Lower middle income,KIR,,104,0
Irak,Latin America & Caribbean,High income,KNA,,105,0
Irlande,East Asia & Pacific,High income,KOR,,106,0
Israël,Middle East & North Africa,High income,KWT,,107,0
Italie,East Asia & Pacific,Lower middle income,LAO,,108,0
Jamaïque,Middle East & North Africa,Lower middle income,LBN,,109,0
Japon,Sub-Saharan Africa,Low income,LBR,,110,0
Jersey,Middle East & North Africa,Upper middle income,LBY,,111,0
Jordanie,Latin America & Caribbean,Upper middle income,LCA,,112,0
Kazakhstan,Europe & Central Asia,High income,LIE,,113,0
Kenya,South Asia,Lower middle income,LKA,,114,0
Kiribati,Sub-Saharan Africa,Lower middle income,LSO,,115,0
Kosovo,Europe & Central Asia,High income,LTU,,116,0
Koweit,Europe & Central Asia,High income,LUX,,117,0
Kirghizistan,Europe & Central Asia,High income,LVA,,118,0
Laos,East Asia & Pacific,High income,MAC,,119,0
Lettonie,Latin America & Caribbean,High income,MAF,,120,0
Liban,Middle East & North Africa,Lower middle income,MAR,,121,0
Lesotho,Europe & Central Asia,High income,MCO,,122,0
Libéria,Europe & Central Asia,Upper middle income,MDA,,123,0
Libye,Sub-Saharan Africa,Low income,MDG,,124,0
Liechtenstein,South Asia,Upper middle income,MDV,,125,0
Lituanie,Latin America & Caribbean,Upper middle income,MEX,,126,0
Luxembourg,East Asia & Pacific,Upper middle income,MHL,,127,0
Macao RAS,Europe & Central Asia,Upper middle income,MKD,,128,0
Madagascar,Sub-Saharan Africa,Low income,MLI,,129,0
Malawi,Middle East & North Africa,High income,MLT,,130,0
Malaisie,East Asia & Pacific,Lower middle income,MMR,,131,0
Maldives,Europe & Central Asia,Upper middle income,MNE,,132,0
Mali,East Asia & Pacific,Lower middle income,MNG,,133,0
Malte,East Asia & Pacific,High income,MNP,,134,0
Homme (Île de),Sub-Saharan Africa,Low income,MOZ,,135,0
Îles Marshall,Sub-Saharan Africa,Lower middle income,MRT,,136,0
Martinique,Sub-Saharan Africa,Upper middle income,MUS,,137,0
Mauritanie,Sub-Saharan Africa,Low income,MWI,,138,0
Maurice,East Asia & Pacific,Upper middle income,MYS,,139,0
Mayotte,Sub-Saharan Africa,Upper middle income,NAM,,140,0
Mexique,East Asia & Pacific,High income,NCL,,141,0
Micronésie,Sub-Saharan Africa,Low income,NER,,142,0
Moldavie,Sub-Saharan Africa,Lower middle income,NGA,,143,0
Monaco,Latin America & Caribbean,Lower middle income,NIC,,144,0
Mongolie,Europe & Central Asia,High income,NLD,,145,0
Monténégro,Europe & Central Asia,High income,NOR,,146,0
Montserrat,South Asia,Lower middle income,NPL,,147,0
Maroc,East Asia & Pacific,High income,NRU,,148,0
Mozambique,East Asia & Pacific,High income,NZL,,149,0
Birmanie,Middle East & North Africa,High income,OMN,,150,0
Namibie,South Asia,Lower middle income,PAK,,151,0
Nauru,Latin America & Caribbean,High income,PAN,,152,0
Népal,Latin America & Caribbean,Upper middle income,PER,,153,0
Pays-Bas,East Asia & Pacific,Lower middle income,PHL,,154,0
Nouvelle-Calédonie,East Asia & Pacific,Upper middle income,PLW,,155,0
Nouvelle-Zélande,East Asia & Pacific,Lower middle income,PNG,,156,0
Nicaragua,Europe & Central Asia,High income,POL,,157,0
Niger,Latin America & Caribbean,High income,PRI,,158,0
Nigeria,East Asia & Pacific,Low income,PRK,,159,0
Nioué,Europe & Central Asia,High income,PRT,,160,0
Île Norfolk,Latin America & Caribbean,Upper middle income,PRY,,161,0
Corée du Nord,Middle East & North Africa,Upper middle income,PSE,,162,0
Macédoine du Nord,East Asia & Pacific,High income,PYF,,163,0
Îles Mariannes du Nord,Middle East & North Africa,High income,QAT,,164,0
Norvège,Europe & Central Asia,High income,ROU,,165,0
Oman,Europe & Central Asia,Upper middle income,RUS,,166,0
Pakistan,Sub-Saharan Africa,Low income,RWA,,167,0
Palaos,Middle East & North Africa,High income,SAU,,168,0
Territoire palestinien occupé,Sub-Saharan Africa,Low income,SDN,,169,0
Panama,Sub-Saharan Africa,Lower middle income,SEN,,170,0
Papouasie-Nouvelle-Guinée,East Asia & Pacific,High income,SGP,,171,0
Paraguay,East Asia & Pacific,Lower middle income,SLB,,172,0
Pérou,Sub-Saharan Africa,Low income,SLE,,173,0
Philippines,Latin America & Caribbean,Upper middle income,SLV,,174,0
Île Pitcairn,Europe & Central Asia,High income,SMR,,175,0
Pologne,Sub-Saharan Africa,Low income,SOM,,176,0
Portugal,Europe & Central Asia,Upper middle income,SRB,,177,0
Porto Rico,Sub-Saharan Africa,Low income,SSD,,178,0
Qatar,Sub-Saharan Africa,Lower middle income,STP,,179,0
Réunion,Latin America & Caribbean,Upper middle income,SUR,,180,0
Roumanie,Europe & Central Asia,High income,SVK,,181,0
Russie,Europe & Central Asia,High income,SVN,,182,0
Rwanda,Europe & Central Asia,High income,SWE,,183,0
Sainte-Hélène,Sub-Saharan Africa,Lower middle income,SWZ,,184,0
Saint-Kitts-et-Nevis,Latin America & Caribbean,High income,SXM,,185,0
Sainte-Lucie,Sub-Saharan Africa,High income,SYC,,186,0
Saint-Pierre-et-Miquelon,Middle East & North Africa,Low income,SYR,,187,0
Saint-Vincent-et-les Grenadines,Latin America & Caribbean,High income,TCA,,188,0
Saint-Barthélemy,Sub-Saharan Africa,Low income,TCD,,189,0
Saint-Martin (partie française),Sub-Saharan Africa,Low income,TGO,,190,0
Samoa,East Asia & Pacific,Upper middle income,THA,,191,0
Saint-Marin,Europe & Central Asia,Lower middle income,TJK,,192,0
Sao Tomé et Principe,Europe & Central Asia,Upper middle income,TKM,,193,0
Arabie Saoudite,East Asia & Pacific,Lower middle income,TLS,,194,0
Sénégal,East Asia & Pacific,Upper middle income,TON,,195,0
Serbie,Latin America & Caribbean,High income,TTO,,196,0
Seychelles,Middle East & North Africa,Lower middle income,TUN,,197,0
Sierra Leone,Europe & Central Asia,Upper middle income,TUR,,198,0
Singapour,East Asia & Pacific,Upper middle income,TUV,,199,0
Sint Maarten (partie néerlandaise),East Asia & Pacific,High income,TWN,,200,0
Slovaquie,Sub-Saharan Africa,Lower middle income,TZA,,201,0
Slovénie,Sub-Saharan Africa,Low income,UGA,,202,0
Îles Salomon,Europe & Central Asia,Lower middle income,UKR,,203,0
Somalie,Latin America & Caribbean,High income,URY,,204,0
Afrique du Sud,North America,High income,USA,,205,0
Géorgie du Sud,Europe & Central Asia,Lower middle income,UZB,,206,0
Corée du Sud,Latin America & Caribbean,Upper middle income,VCT,,207,0
Soudan du Sud,Latin America & Caribbean,,VEN,,208,0
Espagne,Latin America & Caribbean,High income,VGB,,209,0
Sri Lanka,Latin America & Caribbean,High income,VIR,,210,0
Soudan,East Asia & Pacific,Lower middle income,VNM,,211,0
Surinam,East Asia & Pacific,Lower middle income,VUT,,212,0
Îles Svalbard et Jan Mayen,East Asia & Pacific,Lower middle income,WSM,,213,0
Suède,Europe & Central Asia,Upper middle income,XKX,,214,0
Suisse,Middle East & North Africa,Low income,YEM,,215,0
Syrie,Sub-Saharan Africa,Upper middle income,ZAF,,216,0
Taïwan,Sub-Saharan Africa,Lower middle income,ZMB,,217,0
Tadjikistan,Sub-Saharan Africa,Lower middle income,ZWE,,218,0
