Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,preset_User Generated CRF_Encephalitis,preset_ARChetype Disease CRF_Chikungunya,Comment,Value,Translation Reviewers
Cryptosporidium hominis,51504002.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,87,0
Cryptosporidium parvum,33165007.0,SNOMED,fungi,,,,,,,,,,,,,,,89,0
Curvularia lunata,103560006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,90,0
Ciclospora,103561005.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,91,0
Cyclospora cayetanensis,407444007.0,SNOMED,virus,,,,,,,,,,,,1.0,,,92,0
Citomegalovírus,416493002.0,SNOMED,bacteria,,,,,,,,,,,,,,,93,0
Delftia,20432002.0,SNOMED,bacteria,,,,,,,,,,,,,,,94,0
Delftia acidovorans,83617006.0,SNOMED,virus,,,,,,,,,,,,,,,95,0
Deltavírus,34348001.0,SNOMED,virus,,,1.0,,,,,,1.0,,1.0,,,1.0,96,0
Vírus da dengue,413976002.0,SNOMED,bacteria,,,,,,,,,,,,,,,97,0
Dermabacter,54642001.0,SNOMED,bacteria,,,,,,,,,,,,,,,98,0
Difteróide,40406002.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,,100,0
Diphyllobothrium latum,3824001.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,,101,0
Dracunculus medinensis,424206003.0,SNOMED,virus,,1.0,,,,,,,,,,1.0,,,102,0
Vírus Ébola,243672005.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,,103,0
Echinococcus granulosus,414075007.0,SNOMED,bacteria,,,,,,,,,,,,,,,104,0
Eggerthella,426244005.0,SNOMED,bacteria,,,,,,,,,,,,,,,105,0
Elizabeth Kingia,38324000.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,1.0,,,106,0
Entamoeba,415987008.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,107,0
Entamoeba dispar,4716008.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,108,0
Entamoeba histolítica,106544002.0,SNOMED,bacteria,,,,,,,,,,,,,,,109,0
Bactérias entéricas,58683007.0,SNOMED,bacteria,,,,,,,,,,,,1.0,,,110,0
Enterobactérias,62592009.0,SNOMED,bacteria,,,,,,,,,,,,,,,111,0
Enterobacter aerogenes,33115003.0,SNOMED,bacteria,,,,,,,,,,,,,,,112,0
Enterobacter asburiae,114000000000000.0,SNOMED,bacteria,,,,,,,,,,,,,,,113,0
Enterobacter bugandensis,14385002.0,SNOMED,bacteria,,,,,,,,,,,,,,,114,0
Enterobacter cloacae,414102007.0,SNOMED,bacteria,,,,,,,,,,,,,,,115,0
Complexo Enterobacter cloacae,114454006.0,SNOMED,bacteria,,,,,,,,,,,,,,,116,0
Enterobacter hormaechei,114456008.0,SNOMED,bacteria,,,,,,,,,,,,,,,117,0
Enterobacter kobei,106544002.0,SNOMED,bacteria,,,,,,,,,,,,,,,118,0
Enterobactérias,55008000.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,,119,0
Enterobius vermicularis,2785000.0,SNOMED,bacteria,,,,,,,,,,,,1.0,,,120,0
Enterococos,87875008.0,SNOMED,bacteria,,,,,,,,,,,,,,,121,0
Enterococcus avium,78065002.0,SNOMED,bacteria,,,,,,,,,,,,,,,122,0
Enterococcus faecalis,90272000.0,SNOMED,bacteria,,,,,,,,,,,,,,,123,0
Enterococcus faecium,103437000.0,SNOMED,bacteria,,,,,,,,,,,,,,,124,0
Enterococcus raffinosus,243633006.0,SNOMED,virus,,,,,,,,,,,,,,,125,0
Enterovírus (gênero Enterovírus),112403007.0,SNOMED,fungi,,,,,,,,,,,,,,,126,0
Epidermófiton,64735005.0,SNOMED,bacteria,,,,,,,,,,,,,,,127,0
Escherichia,112283007.0,SNOMED,bacteria,,,,,,,,,,,,1.0,,,128,0
Escherichia coli,20586007.0,SNOMED,fungi,,,,,,,,,,,,,,,129,0
Exophiala dermatite,48529007.0,SNOMED,fungi,,,,,,,,,,,,,,,130,0
Falciformispora senegalensis (anteriormente Leptosphaeria senegalensis),407325004.0,SNOMED,virus,,,,,,,,,,,,,,,131,0
Filoviridae (família),243602009.0,SNOMED,virus,,,,,,,,,,,,1.0,,,132,0
Flaviviridae (família),51526001.0,SNOMED,bacteria,,,,,,,,,,,,,,,133,0
Francisella tularensis,414561005.0,SNOMED,fungi,,,,,,,,,,,,,,,134,0
Fungos,35238009.0,SNOMED,fungi,,,,,,,,,,,,,,,135,0
Fusarium,32763000.0,SNOMED,bacteria,,,,,,,,,,,,,,,136,0
Fusobacterium nucleatum,424421007.0,SNOMED,virus,,1.0,,,,,,,,,,,,,137,0
Gênero Marburgvirus,61419001.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,138,0
Giárdia,78181009.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,139,0
Giárdia intestinal,78181009.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,140,0
Giárdia lamblia,87172008.0,SNOMED,bacteria,,,,,,,,,,,,,,,141,0
Bacilo Gram-Negativo,83514008.0,SNOMED,bacteria,,,,,,,,,,,,,,,142,0
Bacilo Gram-Positivo,59206002.0,SNOMED,bacteria,,,,,,,,,,,,,,,143,0
Coco Gram-Positivo,113713009.0,SNOMED,bacteria,,,,,,,,,,,,,,,144,0
Granulicatella adiacens,71268004.0,SNOMED,bacteria,,,,,,,,,,,,,,,145,0
Haemophilus,64889004.0,SNOMED,bacteria,,,,,,,,,,,,,,,146,0
Haemophilus ducreyi,44470000.0,SNOMED,bacteria,,,,,,,,,,,,1.0,,,147,0
Haemophilus influenzae,51593004.0,SNOMED,bacteria,,,,,,,,,,,,,,,148,0
Haemophilus parainfluenzae,76694001.0,SNOMED,bacteria,,,,,,,,,,,,,,,149,0
Hafnia Alvei,49445003.0,SNOMED,virus,,1.0,,,,,,,,,,,,,150,0
Hantavírus,80774000.0,SNOMED,bacteria,,,,,,,,,,,,,,,151,0
Helicobacter pylori,115510008.0,SNOMED,virus,,,,,,,,,,,,,,,152,0
Vírus Hendra,422951006.0,SNOMED,virus,,,,,,,,,,,,,,,153,0
Hepadnaviridae,32452004.0,SNOMED,virus,,,1.0,,,,,,,,,,,,154,0
Vírus da hepatite A,81665004.0,SNOMED,virus,,,1.0,,,,,1.0,,,,,,,155,0
Vírus da hepatite B,62944002.0,SNOMED,virus,,,1.0,,,,,1.0,,,,,,,156,0
Vírus da hepatite C,83617006.0,SNOMED,virus,,,,,,,,,,,,,,,157,0
Vírus da hepatite D,78475006.0,SNOMED,virus,,,,,,,,,,,,,,,158,0
Vírus da hepatite E,128377001.0,SNOMED,virus,,,,,,,,,,,,,,,159,0
Herpesviridae,81951003.0,SNOMED,fungi,,,,,,,,,,,,,,,160,0
Histoplasma,56596006.0,SNOMED,fungi,,,,,,,,,,,,,,,161,0
Histoplasma capsulatum,407451003.0,SNOMED,virus,,,,,,,,,,,,1.0,,,162,0
"Herpesvírus humano 1 (HHV1, vírus Herpes simplex 1, HSV1)",407450002.0,SNOMED,virus,,,,,,,,,,,,1.0,,,163,0
"Herpesvírus humano 2 (HHV2, vírus Herpes Simplex 2, HSV2)",19551004.0,SNOMED,virus,,,,1.0,1.0,,,1.0,,,,1.0,,,164,0
"Herpesvírus humano 3 (vírus Varicella-zoster, VZV)",40168006.0,SNOMED,virus,,,,,,,,,,,,1.0,,,165,0
"Herpesvírus humano 4 (vírus Epstein-Barr, EBV)",243579005.0,SNOMED,virus,,,,,,,,,,,,,,,166,0
"Herpesvírus humano 5 (Citomegalovírus humanbeta5, hCMV)",103528003.0,SNOMED,virus,,,,,,,,,,,,,,,167,0
Herpesvírus humano 6 (vírus Roseola infantum),19030005.0,SNOMED,virus,,,1.0,,,,,1.0,,,,,,,168,0
Vírus da Imunodeficiência Humana (HIV),89293008.0,SNOMED,virus,,,,,,,,,,,,,,,169,0
Vírus da imunodeficiência humana tipo 1 (HIV-1),36115006.0,SNOMED,virus,,,,,,,,,,,,,,,170,0
Vírus da imunodeficiência humana tipo 2 (HIV-2),416730002.0,SNOMED,virus,,,,,,,,,,,,,,,171,0
Metapneumovírus Humano (hMPV),407498006.0,SNOMED,virus,,,,,,,,,,,,,,,172,0
Vírus Parainfluenza Humano,407489008.0,SNOMED,virus,,,,,,,,,,,,,,,173,0
Vírus Parainfluenza Humano 1,407491000.0,SNOMED,virus,,,,,,,,,,,,,,,174,0
Vírus Parainfluenza Humano 2,407493002.0,SNOMED,virus,,,,,,,,,,,,,,,175,0
Vírus Parainfluenza Humano 3,89117003.0,SNOMED,virus,,,,,,,,,,,,,,,176,0
Vírus Parainfluenza Humano 4,63603005.0,SNOMED,virus,,,,,,,,,,,,,,,177,0
Parvovírus Humano b19,6415009.0,SNOMED,virus,,,,,,,,,,,,,,,178,0
Vírus Sincicial Respiratório Humano (RSV),446373002.0,SNOMED,virus,,,,,,,,,,,,,,,179,0
Bocavírus humano,84101006.0,SNOMED,virus,,,,,,,,,,,,,,,180,0
Coronavírus nos humanos,23895005.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,,181,0
Hymenolepis diminuta,74311004.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,,182,0
Hymenolepis nana,442352004.0,SNOMED,virus,1.0,,,,,1.0,,,,1.0,,,,,183,0
Gripe A H1N1,772827006.0,SNOMED,virus,1.0,,,,,1.0,,,,1.0,,,,,184,0
Gripe A H5N1,708527000.0,SNOMED,virus,1.0,,,,,1.0,,,,1.0,,,,,185,0
Gripe A H5N8,715346008.0,SNOMED,virus,1.0,,,,,1.0,,,,1.0,,,,,186,0
Gripe A H7N7,609444009.0,SNOMED,virus,1.0,,,,,1.0,,,,1.0,,,,,187,0
Gripe A H7N9,407479009.0,SNOMED,virus,1.0,,,,,1.0,,,,1.0,,,,,188,0
Vírus da gripe A,407480007.0,SNOMED,virus,1.0,,,,,1.0,,,,1.0,,,,,189,0
Vírus da gripe B,725894000.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,190,0
Vírus da gripe,12633005.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,191,0
Isospora belli,243603004.0,SNOMED,virus,,,,,,,,,,,,1.0,,,192,0
Vírus Junin,26352009.0,SNOMED,virus,,,,,,,,,,,,,,,193,0
Vírus Junin,75032006.0,SNOMED,bacteria,,,,,,,,,,,,1.0,,,194,0
Klebsiella,62592009.0,SNOMED,bacteria,,,,,,,,,,,,,,,195,0
Klebsiella aerogenes,40886007.0,SNOMED,bacteria,,,,,,,,,,,,,,,196,0
Klebsiella oxytoca,56415008.0,SNOMED,bacteria,,,,,,,,,,,,,,,197,0
Klebsiella pneumoniae,409801009.0,SNOMED,bacteria,,,,,,,,,,,,,,,198,0
"Klebsiella pneumoniae, ESBL",431976004.0,SNOMED,bacteria,,,,,,,,,,,,,,,199,0
Klebsiella varícola,113798001.0,SNOMED,bacteria,,,,,,,,,,,,,,,200,0
Lacticaseibacillus rhamnosus,85944001.0,SNOMED,virus,,1.0,,,,,,,,,,1.0,,,201,0
Vírus Lassa,7527002.0,SNOMED,bacteria,,,,,,,,,,,,1.0,,,202,0
Legionela,80897008.0,SNOMED,bacteria,,,,,,,,,,,,,,,203,0
Legionella pneumophila,79357004.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,204,0
Leishmania,712933004.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,205,0
Leishmania Viannia,83196002.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,206,0
Leishmania braziliensis,7400004.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,207,0
Complexo Leishmania brasiliensis,79781008.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,208,0
Complexo Leishmania donovani,116401006.0,SNOMED,bacteria,,,,,,,,,,,,,,1.0,209,0
Leptospira interrogans,734206002.0,SNOMED,fungi,,,,,,,,,,,,,,,210,0
Lictiemia,36094007.0,SNOMED,bacteria,,,,,,,,,,,,,,,211,0
Listeria monocytogenes,69564000.0,SNOMED,fungi,,,,,,,,,,,,,,,212,0
Lomentospora prolificans (Scedosporium prlificans),450622000.0,SNOMED,virus,,,,,,,,,,,,,,,213,0
Vírus Lujo,82518003.0,SNOMED,virus,,,,,,,,,,,,,,,214,0
MERS-CoV,697932005.0,SNOMED,virus,,,,,,,,,,1.0,,1.0,,,215,0
MERS-CoV,71489006.0,SNOMED,virus,,1.0,,,,,,,,,,,,,216,0
Vírus Machupo,23009007.0,SNOMED,fungi,,,,,,,,,,,,,,,217,0
Madurella,51257000.0,SNOMED,fungi,,,,,,,,,,,,,,,218,0
Malassezia pachydermatis,52584002.0,SNOMED,virus,,,,1.0,1.0,,,,,,,,,,219,0
Morbilivírus do sarampo,407501006.0,SNOMED,virus,,,,,,,,,,,,,,,220,0
Metapneumovírus,115329001.0,SNOMED,bacteria,,,,,,,,,,,,,,,221,0
Staphylococcus aureus resistente à meticilina (MRSA),417943000.0,SNOMED,bacteria,,,,,,,,,,,,,,,222,0
Staphylococcus aureus suscetível à meticilina (MSSA),29812000.0,SNOMED,fungi,,,,,,,,,,,,,,,223,0
Meyerozyma guilliermondii,52864008.0,SNOMED,bacteria,,,,,,,,,,,,,,,224,0
Micrococo,48299003.0,SNOMED,bacteria,,,,,,,,,,,,,,,225,0
Micrococo luteus,418382009.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,226,0
Microsporídios,11983001.0,SNOMED,fungi,,,,,,,,,,,,,,,227,0
Microsporo,697932005.0,SNOMED,virus,,,,,,,,,,,,,,,228,0
Coronavírus da Síndrome Respiratória do Oriente Médio,79589007.0,SNOMED,bacteria,,,,,,,,,,,,,,,229,0
Mirabilis,36361003.0,SNOMED,bacteria,,,,,,,,,,,,,,,230,0
Moraxela,24226003.0,SNOMED,bacteria,,,,,,,,,,,,,,,231,0
Moraxella catarrhalis,50713005.0,SNOMED,bacteria,,,,,,,,,,,,,,,232,0
Morganela,243301005.0,SNOMED,bacteria,,,,,,,,,,,,,,,233,0
Morganella morganii,59774002.0,SNOMED,virus,1.0,,,1.0,1.0,,,1.0,,,,,,,234,0
Vírus MPox,49782006.0,SNOMED,fungi,,,,,,,,,,,,,,,235,0
Mucor,50384007.0,SNOMED,virus,,,,,,,,,,,,1.0,,,236,0
Vírus da caxumba,243368001.0,SNOMED,bacteria,,,,,,,,,,,,,,,237,0
Micobactéria,58242002.0,SNOMED,bacteria,,,,,,,,,,,,,,,238,0
Mycobacterium leprae,113861009.0,SNOMED,bacteria,,,,,,,,,,,,,,,239,0
Mycobacterium tuberculose,110379001.0,SNOMED,bacteria,,,,,,,,,,,,,,,240,0
"Mycobacterium, não-tuberculose",16377009.0,SNOMED,bacteria,,,,,,,,,,,,,,,241,0
Mycoplasma agalactiae,58720004.0,SNOMED,bacteria,,,,,,,,,,,,,,,242,0
Mycoplasma pneumoniae,43905006.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,,243,0
Necator americano,17872004.0,SNOMED,bacteria,,,,,,,,,,,,1.0,,,244,0
Neisseria meningitidis,47066009.0,SNOMED,fungi,,,,,,,,,,,,,,,245,0
Neotestudina rosatii (Zopfia rosatii),115511007.0,SNOMED,virus,,,,,,,,,,,,1.0,,,246,0
Vírus Nipah,30092002.0,SNOMED,bacteria,,,,,,,,,,,,,,,247,0
Asteróides Nocardia,58970008.0,SNOMED,bacteria,,,,,,,,,,,,,,,248,0
Nocardia brasiliensis,407359000.0,SNOMED,virus,,,,,,,,,,,,,,,249,0
Norovírus,52397001.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,,250,0
Onchocerca volvulus,55014007.0,SNOMED,virus,,,,,,,,,,,,,,,251,0
Orthomyxoviridae (vírus influenza),243584004.0,SNOMED,virus,,,,,,,,,,,,,,,252,0
Papilomavírus,243587006.0,SNOMED,virus,,,,,,,,,,,,,,,253,0
Papoviridae,112405000.0,SNOMED,fungi,,,,,,,,,,,,,,,254,0
Paracoccidioides,58412002.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,,255,0
Paragonimus westermani,128354001.0,SNOMED,virus,,,,,,,,,,,,,,,256,0
Paramyxoviridae,243587006.0,SNOMED,virus,,,,,,,,,,,,,,,257,0
Parvoviridae,42993004.0,SNOMED,fungi,,,,,,,,,,,,,,,258,0
Penicillium,16452009.0,SNOMED,fungi,,,,,,,,,,,,,,,259,0
Pichia kudriavzeveii,407344006.0,SNOMED,virus,,,,,,,,,,,,,,,260,0
Picornaviridae,34706006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,261,0
Plasmódio,30020004.0,SNOMED,"parasite, protozoa",,,,,,,,1.0,,,,1.0,,,262,0
Plasmodium falciparum,56395006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,1.0,,,263,0
Malária por Plasmodium,18508006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,1.0,,,264,0
Plasmodium oval,74746009.0,SNOMED,"parasite, protozoa",,,,,,,,1.0,,,,1.0,,,265,0
Plasmodium vivax,115987006.0,SNOMED,fungi,,,,,,,,,,,,,,,266,0
Pneumociste,79909001.0,SNOMED,fungi,,,,,,,,,,,,1.0,,,267,0
Pneumocystis jirovecii,20484008.0,SNOMED,Prions,,,,,,,,,,,,1.0,,,268,0
Doenças príon,34844008.0,SNOMED,bacteria,,,,,,,,,,,,,,,269,0
Propionibactéria,39473003.0,SNOMED,bacteria,,,,,,,,,,,,,,,270,0
Propionibacterium acnes,50517009.0,SNOMED,bacteria,,,,,,,,,,,,,,,271,0
Proteu,73457008.0,SNOMED,bacteria,,,,,,,,,,,,,,,272,0
Proteus mirabilis,45834001.0,SNOMED,bacteria,,,,,,,,,,,,,,,273,0
Proteus vulgaris,14196002.0,SNOMED,bacteria,,,,,,,,,,,,,,,274,0
Providência rettgeri,1445008.0,SNOMED,bacteria,,,,,,,,,,,,,,,275,0
Providencia stuartii,57032008.0,SNOMED,bacteria,,,,,,,,,,,,1.0,,,276,0
Pseudomonas,52499004.0,SNOMED,bacteria,,,,,,,,,,,,,,,277,0
Pseudomonas aeruginosa,39289003.0,SNOMED,bacteria,,,,,,,,,,,,,,,278,0
Pseudomonas fluorescentes,68608003.0,SNOMED,bacteria,,,,,,,,,,,,,,,279,0
Pseudomonas putida,59881000.0,SNOMED,virus,,,,,,,,,,,,1.0,,,280,0
Vírus da raiva,417468005.0,SNOMED,bacteria,,,,,,,,,,,,,,,281,0
Raoultella,416832000.0,SNOMED,bacteria,,,,,,,,,,,,,,,282,0
Raoultella ornithinolytica,416264004.0,SNOMED,bacteria,,,,,,,,,,,,,,,283,0
Raoultella planticola,6415009.0,SNOMED,virus,,,,,,,,1.0,,1.0,,,,,284,0
Vírus Sincicial Respiratório (RSV),77622001.0,SNOMED,virus,,,,,,,,,,,,1.0,,,285,0
Retroviridae,407326003.0,SNOMED,virus,,,,,,,,,,,,,,,286,0
