Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_Score_CharlsonCI,preset_Score_mSOFA,preset_Score_mSOFA_Dengue,preset_Recommended Outcomes_Dengue,preset_Populations_Paediatric,preset_Populations_Pregnancy,preset_User Generated CRF_Encephalitis,Form Translation Reviewers,Section Translation Reviewers,Question Translation Reviewers,Definition Translation Reviewers,Completion Guideline Translation Reviewers,Answer Options Translation Reviewers
apresentação,INÍCIO E APRESENTAÇÃO,pres_adm_time,time,Hora da admissão no hospital,,time,,,,[pres_adm] = '1',,Refere-se à admissão do paciente em seu local para o tratamento da doença atual.,Insira a hora da admissão no seu local no formato de 24 horas (00:00 - 24:00 horas).,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,
apresentação,INÍCIO E APRESENTAÇÃO,pres_enrolmentdate,date_dmy,Data de inscrição/início da coleta de dados,,date_dmy,,today,,,,Refere-se à data de inscrição/início da coleta de dados.,Insira a data de inscrição do paciente no estudo no formato dia/mês/ano (DD/MM/AAAA).,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0,0,0,0,0,
apresentação,READMISSÃO E PIN ANTERIOR,readm_prev,radio,O paciente foi internado anteriormente ou transferido de outra instituição durante este episódio da doença?,"1, SIM - admitido anteriormente nesta instituição e recebeu alta | 2, SIM - admitido em outra instituição e recebeu alta | 3, SIM - admitido em outra instituição e transferido para esta instituição | 0, Não | 99, Desconhecido",,,,,,,Refere-se à admissão anterior em uma unidade de saúde ou transferência de outra unidade de saúde durante o episódio atual da doença.,Selecione a opção mais adequada que representa se o paciente foi admitido anteriormente ou transferido de qualquer outra instituição durante este episódio da doença.,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,0
apresentação,READMISSÃO E PIN ANTERIOR,readm_prev_site,text,Nome da instituição de transferência,,,,,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3',,Refere-se ao nome da unidade da qual o paciente foi admitido ou transferido anteriormente.,Insira o nome da instituição da qual o paciente foi admitido ou transferido anteriormente.,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,
apresentação,READMISSÃO E PIN ANTERIOR,readm_prev_date,date_dmy,Data da apresentação na instituição anterior,,date_dmy,,today,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3',,Refere-se à data de apresentação na unidade na qual o paciente foi admitido ou transferido anteriormente.,Insira a data de apresentação na instituição na qual o paciente foi admitido ou transferido anteriormente.,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,
apresentação,READMISSÃO E PIN ANTERIOR,readm_prev_num,number,Número total de internações anteriores para esta infecção,,number,1.0,50,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3',,Refere-se ao número de vezes (para esta infecção) que o paciente foi admitido em uma unidade de saúde.,Indique o número de vezes (para esta infecção) que o paciente foi admitido em uma unidade de saúde.,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,
apresentação,READMISSÃO E PIN ANTERIOR,readm_firstadmdate,date_dmy,Data da admissão mais precoce para esta infecção,,date_dmy,,today,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3',,"Refere-se à data da primeira admissão por esta doença. Se o paciente foi primeiro “admitido em outra unidade e depois transferido para esta unidade”, registre a data em que o paciente foi admitido na outra unidade de saúde.",Escreva a data no formato DD/MM/AAAA.,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,
apresentação,READMISSÃO E PIN ANTERIOR,readm_difpin,radio,Os dados do paciente foram coletados anteriormente sob um número diferente de identificação do participante (PIN)?,"1, Sim | 0, Não | 99, Desconhecido",,,,,,,Refere-se à coleta anterior dos dados do paciente sob um número de identificação do participante (PIN) diferente.,Indique 'sim' se os dados do paciente foram coletados anteriormente sob um número diferente de identificação do participante (PIN),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
apresentação,READMISSÃO E PIN ANTERIOR,readm_prevpin,text,Número anterior de identificação do participante (PIN),,,,,,[readm_difpin] = '1',,O número de identificação do participante ou o PIN é um número exclusivo usado para identificar os dados do paciente (participante).,Escreva o número de identificação do participante (PIN).,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
apresentação,READMISSÃO E PIN ANTERIOR,readm_reas,radio,O paciente está sendo readmitido ou devido à infecção com patógeno de interesse?,"1, Sim | 0, Não | 99, Desconhecido",,,,,,,Isso se refere à re-admissão do paciente com ou devido à infecção com patógeno de interesse.,Indique 'sim' se o paciente estiver sendo re-admitido ou devido à infecção com patógeno de interesse.,,,,,,,,,,,,1.0,,,,,,,,,0,0,0,0,0,0
apresentação,DEMOGRAFIA,demog_birthknow,radio,A data de nascimento é conhecida?,"1, Sim | 0, Não",,,,,,,Refere-se à data do calendário em que o paciente nasceu.,Registre a data de nascimento dos participantes no formato DD/MM/AAAA.,SNOMED,"184099003, Date of birth (observable entity)","C0421451, Patient date of birth",,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,0,0,0,0,0,0
apresentação,DEMOGRAFIA,demog_birthdate,date_dmy,Data de nascimento,,date_dmy,,today,,[demog_birthknow]='1',,Isso se refere à data do calendário em que o paciente nasceu.,Registre a data dos participantes de nascimento em formato dd/mm/yyyy.,SNOMED,"184099003, Date of birth (observable entity)","C0421451, Patient date of birth",1.0,risk_factor_demo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,0,0,0,0,0,
apresentação,DEMOGRAFIA,demog_age,number,Idade,,number,0.0,150,,[demog_birthknow]='0',,Isso se refere à idade do paciente.,"Para participantes com mais de dois anos, relate a idade em anos. Para crianças menores de um ano, informe -se em meses. Para neonatos abaixo dos anos de um mês, informe -se em dias.",SNOMED,"424144002, Current chronological age (observable entity)",,,risk_factor_demo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,0,0,0,0,0,
apresentação,DEMOGRAFIA,demog_age_units,radio,Unidades etárias,"1, Anos | 2, Meses | 3, Dias",,,,,[demog_birthknow]='0',,Isso se refere à idade do paciente na apresentação do centro de saúde.,Selecione as unidades mais apropriadas para a idade.,SNOMED,"424144002, Current chronological age (observable entity)",,,risk_factor_demo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,0,0,0,0,0,0
apresentação,DEMOGRAFIA,demog_calcage_days,calc,Idade calculada (dias),"if([demog_birthknow]='1',datediff([demog_birthdate],[pres_date],""d""),if([demog_age_units]='1',[demog_ag e]*365,if([demog_age_units]='2',round([demog_age]*365/12,0),if([demog_age_units]='3',[demog_age],''))))",,,,,,,Refere-se à idade do paciente em dias.,"A idade é calculada, se a data de nascimento for conhecida, como a diferença entre a data de nascimento e a data mais recente de apresentação ou admissão na instituição.",SNOMED,"424144002, Current chronological age (observable entity)",,,risk_factor_demo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,0,0,0,0,0,0
apresentação,DEMOGRAFIA,demog_sex,radio,Sexo no nascimento,"1, Masculino | 2, Feminino | 99, Não especificado/Desconhecido | 88, Outro",,,,,,,Isso se refere às características sexuais físicas ao nascer.,Selecione a opção mais apropriada que representa as características sexuais físicas no nascimento.,SNOMED,"281053000, Sex of baby at delivery (observable entity)",,,risk_factor_demo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,0,0,0,0,0,0
apresentação,DEMOGRAFIA,demog_sex_oth,text,Se o outro: especifique sexo no nascimento,,,,,,[demog_sex]='88',,Isso se refere às características sexuais físicas ao nascer.,"Se 'outro', especifique as características sexuais físicas no nascimento.",SNOMED,"281053000, Sex of baby at delivery (observable entity)",,,risk_factor_demo,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,0,0,0,0,0,
apresentação,DEMOGRAFIA,demog_gender,radio,Gênero,"1, Homem | 2, Mulher | 3, Não binário | 99, Desconhecido | 88, Outro",,,,,[demog_calcage_days]>3650,,"Refere-se ao sentimento interno de uma pessoa em relação ao seu gênero, que pode ou não corresponder ao sexo genotípico ou fenotípico do indivíduo. ",Selecione a opção mais apropriada que representa a identidade de gênero do paciente.,SNOMED,"263495000, Gender (observable entity)","C0079399, Gender",,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,0,0,0,0,0,0
apresentação,DEMOGRAFIA,demog_gender_oth,text,Se o outro: especificar gênero,,,,,,[demog_gender]='88',,"Refere-se à percepção interna que uma pessoa tem do seu género, que pode ou não corresponder ao sexo genotípico ou fenotípico do indivíduo.",Se 'outros' especificar a identidade de gênero do paciente.,SNOMED,"263495000, Gender (observable entity)","C0079399, Gender",,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,0,0,0,0,0,
apresentação,DEMOGRAFIA,demog_country,user_list,País,,,,,demographics_Country,,,Refere-se ao país de inscrição,Indicar o país de inscrição,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
apresentação,DEMOGRAFIA,demog_outcountry,radio,O paciente nasceu fora do país que está relatando?,"1, Sim | 0, Não | 99, Desconhecido",,,,,,,Refere-se ao nascimento do participante fora do país de notificação.,Indique se o participante nasceu fora do país de notificação,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
apresentação,DEMOGRAFIA,demog_height,number,Altura (unidades selecionadas),,number,0.0,250,,,,Estimativa real ou mais próxima da altura no momento da admissão.,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,0,0,0,0,,
apresentação,DEMOGRAFIA,demog_height_units,radio,Altura (selecionar unidades),"1,cm | 2, em",units,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,0,0,0,,,0
apresentação,DEMOGRAFIA,demog_height_cm,number,Altura (cm),,number,0.0,250,,,,"Isso se refere à distância da sola à coroa da cabeça com o corpo em pé em uma superfície plana e totalmente estendido, medido em centímetros. Para crianças menores de 2 anos, use o comprimento do corpo (medido enquanto deitado supino).","Indique a altura do paciente em centímetros (cm). Para crianças menores de 2 anos, use comprimento.",SNOMED,"1153637007, Body height (observable entity)","C0489786, Height",,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,0,0,0,0,0,
apresentação,DEMOGRAFIA,demog_height_in,number,Altura (in),,number,0.0,98,,,,"Isso se refere à distância da sola à coroa da cabeça com o corpo em pé em uma superfície plana e totalmente estendida, medida em polegadas. Para crianças menores de 2 anos, use o comprimento do corpo (medido enquanto deitado supino).","Indique a altura do paciente em polegadas (in). Para crianças menores de 2 anos, use comprimento.",,"1153637007, Body height (observable entity)","C0489786, Height",,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,0,0,0,0,0,
apresentação,DEMOGRAFIA,demog_weight,number,Peso (unidades selecionadas),,number,0.0,1763,,,,Estimativa real ou mais próxima do peso no momento da admissão.,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,0,0,0,0,,
apresentação,DEMOGRAFIA,demog_weight_units,radio,Peso (selecionar unidades),"1,kg | 2, libras",units,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,1.0,0,0,0,,,0
apresentação,DEMOGRAFIA,demog_weight_kg,number,Peso (kg),,number,0.0,800,,,,"Isso se refere ao peso de um sujeito, expresso em quilogramas (kg).",Indique o peso do paciente em quilogramas (kg).,SNOMED,"27113001,  Body weight (observable entity)","C0005910, Body Weight",,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,0,0,0,0,0,
apresentação,DEMOGRAFIA,demog_weight_lb,number,Peso (lb),,number,0.0,1763,,,,"Isso se refere ao peso de um sujeito, expresso em libras (lb).",Indique o peso do paciente em libras (lb).,,"27113001,  Body weight (observable entity)","C0005910, Body Weight",,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,0,0,0,0,0,
apresentação,DEMOGRAFIA,demog_race,multi_list,Corrida (selecione tudo o que se aplica),,,,,demographics_Race,,,Isso se refere a uma categoria de origem ancestral geográfica atribuída a um grupo populacional baseado principalmente em características físicas que se consideram distintas e inerentes.,Selecione tudo o que se aplica.,SNOMED,"103579009, Race (observable entity)","C3853635, Race",,,,,,1.0,,,,,,,,,,,,0,0,0,0,0,
apresentação,DEMOGRAFIA,demog_healthcare,radio,Empregado como trabalhador de saúde,"1, Sim | 0, Não | 99, Desconhecido",,,,,[demog_calcage_days]>5840,,Refere-se a um paciente que trabalha no setor de saúde.,Selecione a opção mais apropriada.,SNOMED,"223366009, Healthcare professional (occupation)",,,risk_factor_socio,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,0,0,0,0,0,0
apresentação,DEMOGRAFIA,demog_healthcare_ptfacing,radio,Paciente voltado,"1, Sim | 0, Não | 99, Desconhecido",,,,,[demog_healthcare] = '1',,"Refere-se a um paciente que trabalha no setor de saúde prestando cuidados em ambientes de atendimento ao paciente (ou seja, funções que envolvem interação direta com pacientes). ",Selecione a opção mais apropriada.,SNOMED,"223366009, Healthcare professional (occupation)",,,risk_factor_socio,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,0,0,0,0,0,0
apresentação,DEMOGRAFIA,demog_healthcare_expbiosample,radio,Exposto a amostras biológicas,"1, Sim | 0, Não | 99, Desconhecido",,,,,[demog_healthcare] = '1',,"Refere-se a um paciente que trabalha no setor de saúde prestando cuidados em ambientes que não envolvem contato direto com pacientes, mas que está exposto a amostras biológicas (por exemplo, funcionários de laboratório, manipuladores de resíduos médicos).",Selecione a opção mais apropriada.,SNOMED,"223366009, Healthcare professional (occupation)",,,risk_factor_socio,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,0,0,0,0,0,0
apresentação,DEMOGRAFIA,demog_riskoccupa,user_list,Ocupação do paciente,,,,,demographics_Occupation,,,Isso se refere à principal atividade que uma pessoa faz para ganhar a vida.,Selecione tudo o que se aplica.,,,,,risk_factor_socio,,1.0,,,,,1.0,,,,,,,,,0,0,0,0,0,
